PRISM
=====

Version: 4.4
Date: Mon Jul 09 22:36:31 EDT 2018
Hostname: storm-eval
Memory limits: cudd=1g, java(heap)=910.5m
Command line: prism -hybrid -epsilon 2.5e-13 -maxiters 100000000 -power -absolute -const k=400 ../../CZK_project/Model/benchmark/devel/firstRejuvenation/firstRejuvenation_CTMC.pm -ss -exportss ../../CZK_project/Output/firstRejuvenation_1E-10_dynamic/hybrid/ph_400_1E-10

Parsing model file "../../CZK_project/Model/benchmark/devel/firstRejuvenation/firstRejuvenation_CTMC.pm"...

Type:        CTMC
Modules:     firstRejuvenation trigger 
Variables:   status avail maintenance i 

---------------------------------------------------------------------

Computing steady-state probabilities...

Building model...
Model constants: k=400

Computing reachable states...

Reachability (BFS): 801 iterations in 0.02 seconds (average 0.000020, setup 0.00)

Time for model construction: 0.056 seconds.

Type:        CTMC
States:      2000 (1 initial)
Transitions: 2800

Rate matrix: 304 nodes (7 terminal), 2800 minterms, vars: 13r/13c

SCCs: 1, BSCCs: 1, non-BSCC states: 0
BSCC sizes: 1:2000

Initial states all in one BSCC (so no reachability probabilities computed)

Computing probabilities...
Engine: Hybrid

Building power method iteration matrix MTBDD... [nodes=358] [7.0 Kb]
Building hybrid MTBDD matrix... [levels=13, nodes=384] [18.0 KB]
Adding explicit sparse matrices... [levels=13, num=1, compact] [20.8 KB]
Allocating iteration vectors... [2 x 15.6 KB]
TOTAL: [70.0 KB]

Starting iterations...
Iteration 374157: max diff=0.000000, 5.00 sec so far
Iteration 744103: max diff=0.000000, 10.01 sec so far
Iteration 1118606: max diff=0.000000, 15.01 sec so far
Iteration 1489797: max diff=0.000000, 20.02 sec so far
Iteration 1862653: max diff=0.000000, 25.02 sec so far
Iteration 2238873: max diff=0.000000, 30.02 sec so far
Iteration 2612271: max diff=0.000000, 35.03 sec so far
Iteration 2988927: max diff=0.000000, 40.03 sec so far
Iteration 3360623: max diff=0.000000, 45.04 sec so far
Iteration 3731694: max diff=0.000000, 50.04 sec so far
Iteration 4105265: max diff=0.000000, 55.04 sec so far
Iteration 4480314: max diff=0.000000, 60.05 sec so far
Iteration 4849993: max diff=0.000000, 65.05 sec so far
Iteration 5225987: max diff=0.000000, 70.06 sec so far
Iteration 5598937: max diff=0.000000, 75.06 sec so far
Iteration 5971034: max diff=0.000000, 80.06 sec so far
Iteration 6336736: max diff=0.000000, 85.07 sec so far
Iteration 6712471: max diff=0.000000, 90.07 sec so far
Iteration 7088800: max diff=0.000000, 95.08 sec so far
Iteration 7464876: max diff=0.000000, 100.08 sec so far
