PRISM
=====

Version: 4.4
Date: Mon Jul 09 09:34:10 EDT 2018
Hostname: storm-eval
Memory limits: cudd=1g, java(heap)=910.5m
Command line: prism -hybrid -epsilon 1e-09 -maxiters 100000000 -power -absolute -const k=1000 ../../CZK_project/Model/benchmark/devel/firstRejuvenation/firstRejuvenation_CTMC.pm -ss -exportss ../../CZK_project/Output/firstRejuvenation_1E-6_dynamic/hybrid/ph_1000_1E-6

Parsing model file "../../CZK_project/Model/benchmark/devel/firstRejuvenation/firstRejuvenation_CTMC.pm"...

Type:        CTMC
Modules:     firstRejuvenation trigger 
Variables:   status avail maintenance i 

---------------------------------------------------------------------

Computing steady-state probabilities...

Building model...
Model constants: k=1000

Computing reachable states...

Reachability (BFS): 2001 iterations in 0.04 seconds (average 0.000022, setup 0.00)

Time for model construction: 0.13 seconds.

Type:        CTMC
States:      5000 (1 initial)
Transitions: 7000

Rate matrix: 355 nodes (7 terminal), 7000 minterms, vars: 14r/14c

SCCs: 1, BSCCs: 1, non-BSCC states: 0
BSCC sizes: 1:5000

Initial states all in one BSCC (so no reachability probabilities computed)

Computing probabilities...
Engine: Hybrid

Building power method iteration matrix MTBDD... [nodes=414] [8.1 Kb]
Building hybrid MTBDD matrix... [levels=14, nodes=470] [22.0 KB]
Adding explicit sparse matrices... [levels=14, num=1, compact] [51.8 KB]
Allocating iteration vectors... [2 x 39.1 KB]
TOTAL: [152.0 KB]

Starting iterations...
Iteration 151375: max diff=0.000001, 5.00 sec so far
Iteration 304514: max diff=0.000000, 10.01 sec so far
Iteration 455646: max diff=0.000000, 15.01 sec so far
Iteration 606943: max diff=0.000000, 20.02 sec so far
Iteration 758557: max diff=0.000000, 25.02 sec so far
Iteration 910159: max diff=0.000000, 30.02 sec so far
Iteration 1061182: max diff=0.000000, 35.03 sec so far
Iteration 1212643: max diff=0.000000, 40.03 sec so far
Iteration 1364608: max diff=0.000000, 45.04 sec so far
Iteration 1517818: max diff=0.000000, 50.04 sec so far
Iteration 1669983: max diff=0.000000, 55.04 sec so far
Iteration 1819624: max diff=0.000000, 60.05 sec so far
Iteration 1970589: max diff=0.000000, 65.05 sec so far
Iteration 2122729: max diff=0.000000, 70.06 sec so far
Iteration 2274204: max diff=0.000000, 75.06 sec so far
Iteration 2425291: max diff=0.000000, 80.06 sec so far
Iteration 2576436: max diff=0.000000, 85.07 sec so far
Iteration 2727682: max diff=0.000000, 90.07 sec so far
Iteration 2880006: max diff=0.000000, 95.08 sec so far
Iteration 3030629: max diff=0.000000, 100.08 sec so far
Iteration 3182131: max diff=0.000000, 105.08 sec so far
Iteration 3333730: max diff=0.000000, 110.09 sec so far
Iteration 3486073: max diff=0.000000, 115.09 sec so far
Iteration 3638352: max diff=0.000000, 120.10 sec so far
Iteration 3789264: max diff=0.000000, 125.10 sec so far
Iteration 3940514: max diff=0.000000, 130.10 sec so far
Iteration 4092222: max diff=0.000000, 135.11 sec so far
Iteration 4243580: max diff=0.000000, 140.11 sec so far
Iteration 4393607: max diff=0.000000, 145.12 sec so far
Iteration 4541155: max diff=0.000000, 150.12 sec so far
Iteration 4691005: max diff=0.000000, 155.12 sec so far
Iteration 4834686: max diff=0.000000, 160.13 sec so far
Iteration 4970478: max diff=0.000000, 165.13 sec so far
Iteration 5105464: max diff=0.000000, 170.14 sec so far
Iteration 5240278: max diff=0.000000, 175.14 sec so far
Iteration 5376699: max diff=0.000000, 180.14 sec so far
Iteration 5525234: max diff=0.000000, 185.15 sec so far
Iteration 5665310: max diff=0.000000, 190.15 sec so far
Iteration 5815457: max diff=0.000000, 195.16 sec so far
Iteration 5963409: max diff=0.000000, 200.16 sec so far
Iteration 6112681: max diff=0.000000, 205.16 sec so far
Iteration 6262766: max diff=0.000000, 210.17 sec so far
Iteration 6412647: max diff=0.000000, 215.17 sec so far
Iteration 6563823: max diff=0.000000, 220.18 sec so far
Iteration 6715380: max diff=0.000000, 225.18 sec so far
Iteration 6866072: max diff=0.000000, 230.18 sec so far
Iteration 7016018: max diff=0.000000, 235.19 sec so far
Iteration 7166097: max diff=0.000000, 240.19 sec so far
Iteration 7316599: max diff=0.000000, 245.20 sec so far
Iteration 7469017: max diff=0.000000, 250.20 sec so far
Iteration 7618451: max diff=0.000000, 255.20 sec so far
Iteration 7767595: max diff=0.000000, 260.21 sec so far
Iteration 7917515: max diff=0.000000, 265.21 sec so far
Iteration 8067665: max diff=0.000000, 270.22 sec so far
Iteration 8217204: max diff=0.000000, 275.22 sec so far
Iteration 8367851: max diff=0.000000, 280.22 sec so far
Iteration 8519122: max diff=0.000000, 285.23 sec so far
Iteration 8670444: max diff=0.000000, 290.23 sec so far
Iteration 8820590: max diff=0.000000, 295.24 sec so far
Iteration 8970089: max diff=0.000000, 300.24 sec so far
Iteration 9120126: max diff=0.000000, 305.24 sec so far
Iteration 9270471: max diff=0.000000, 310.25 sec so far
Iteration 9419962: max diff=0.000000, 315.25 sec so far
Iteration 9570119: max diff=0.000000, 320.26 sec so far
Iteration 9720669: max diff=0.000000, 325.26 sec so far
Iteration 9871297: max diff=0.000000, 330.26 sec so far
Iteration 10021819: max diff=0.000000, 335.27 sec so far
Iteration 10170991: max diff=0.000000, 340.27 sec so far
Iteration 10320949: max diff=0.000000, 345.28 sec so far
Iteration 10471126: max diff=0.000000, 350.28 sec so far
Iteration 10620054: max diff=0.000000, 355.28 sec so far
Iteration 10769384: max diff=0.000000, 360.29 sec so far
Iteration 10918269: max diff=0.000000, 365.29 sec so far
Iteration 11067734: max diff=0.000000, 370.30 sec so far
Iteration 11216996: max diff=0.000000, 375.30 sec so far
Iteration 11366581: max diff=0.000000, 380.30 sec so far
Iteration 11515769: max diff=0.000000, 385.31 sec so far
Iteration 11665297: max diff=0.000000, 390.31 sec so far
Iteration 11815287: max diff=0.000000, 395.32 sec so far
Iteration 11966593: max diff=0.000000, 400.32 sec so far
Iteration 12117286: max diff=0.000000, 405.32 sec so far
Iteration 12267325: max diff=0.000000, 410.33 sec so far
Iteration 12417659: max diff=0.000000, 415.33 sec so far
Iteration 12566767: max diff=0.000000, 420.34 sec so far
Iteration 12718083: max diff=0.000000, 425.34 sec so far
Iteration 12866619: max diff=0.000000, 430.34 sec so far
Iteration 13016156: max diff=0.000000, 435.35 sec so far
Iteration 13164983: max diff=0.000000, 440.35 sec so far
Iteration 13313772: max diff=0.000000, 445.36 sec so far
Iteration 13462949: max diff=0.000000, 450.36 sec so far
Iteration 13612660: max diff=0.000000, 455.36 sec so far
Iteration 13764024: max diff=0.000000, 460.37 sec so far
Iteration 13915561: max diff=0.000000, 465.37 sec so far
Iteration 14067740: max diff=0.000000, 470.38 sec so far
Iteration 14219076: max diff=0.000000, 475.38 sec so far
Iteration 14371757: max diff=0.000000, 480.38 sec so far
