PRISM
=====

Version: 4.4
Date: Wed Jul 11 22:52:01 EDT 2018
Hostname: storm-eval
Memory limits: cudd=1g, java(heap)=910.5m
Command line: prism -hybrid -epsilon 1E-10 -maxiters 100000000 -power -absolute -const k=900 ../../CZK_project/Model/benchmark/devel/firstRejuvenation/firstRejuvenation_CTMC.pm -ss -exportss ../../CZK_project/Output/firstRejuvenation_1E-10_constant/hybrid/ph_900_1E-10

Parsing model file "../../CZK_project/Model/benchmark/devel/firstRejuvenation/firstRejuvenation_CTMC.pm"...

Type:        CTMC
Modules:     firstRejuvenation trigger 
Variables:   status avail maintenance i 

---------------------------------------------------------------------

Computing steady-state probabilities...

Building model...
Model constants: k=900

Computing reachable states...

Reachability (BFS): 1801 iterations in 0.04 seconds (average 0.000024, setup 0.00)

Time for model construction: 0.124 seconds.

Type:        CTMC
States:      4500 (1 initial)
Transitions: 6300

Rate matrix: 351 nodes (7 terminal), 6300 minterms, vars: 14r/14c

SCCs: 1, BSCCs: 1, non-BSCC states: 0
BSCC sizes: 1:4500

Initial states all in one BSCC (so no reachability probabilities computed)

Computing probabilities...
Engine: Hybrid

Building power method iteration matrix MTBDD... [nodes=410] [8.0 Kb]
Building hybrid MTBDD matrix... [levels=14, nodes=466] [21.8 KB]
Adding explicit sparse matrices... [levels=14, num=1, compact] [59.9 KB]
Allocating iteration vectors... [2 x 35.2 KB]
TOTAL: [152.0 KB]

Starting iterations...
Iteration 165651: max diff=0.000001, 5.00 sec so far
Iteration 332890: max diff=0.000000, 10.01 sec so far
Iteration 499418: max diff=0.000000, 15.01 sec so far
Iteration 667769: max diff=0.000000, 20.02 sec so far
Iteration 835779: max diff=0.000000, 25.02 sec so far
Iteration 1003339: max diff=0.000000, 30.02 sec so far
Iteration 1171715: max diff=0.000000, 35.03 sec so far
Iteration 1338661: max diff=0.000000, 40.03 sec so far
Iteration 1506112: max diff=0.000000, 45.04 sec so far
Iteration 1673628: max diff=0.000000, 50.04 sec so far
Iteration 1841108: max diff=0.000000, 55.04 sec so far
Iteration 2008462: max diff=0.000000, 60.05 sec so far
Iteration 2173214: max diff=0.000000, 65.05 sec so far
Iteration 2340978: max diff=0.000000, 70.06 sec so far
Iteration 2508400: max diff=0.000000, 75.06 sec so far
Iteration 2675439: max diff=0.000000, 80.06 sec so far
Iteration 2841995: max diff=0.000000, 85.07 sec so far
Iteration 3008575: max diff=0.000000, 90.07 sec so far
Iteration 3175519: max diff=0.000000, 95.08 sec so far
Iteration 3343385: max diff=0.000000, 100.08 sec so far
Iteration 3511359: max diff=0.000000, 105.08 sec so far
Iteration 3678962: max diff=0.000000, 110.09 sec so far
Iteration 3840869: max diff=0.000000, 115.09 sec so far
Iteration 4006697: max diff=0.000000, 120.10 sec so far
Iteration 4173212: max diff=0.000000, 125.10 sec so far
Iteration 4339912: max diff=0.000000, 130.10 sec so far
Iteration 4505925: max diff=0.000000, 135.11 sec so far
Iteration 4673191: max diff=0.000000, 140.11 sec so far
Iteration 4839633: max diff=0.000000, 145.12 sec so far
Iteration 5006010: max diff=0.000000, 150.12 sec so far
