PRISM
=====

Version: 4.4
Date: Wed Jul 11 18:43:56 EDT 2018
Hostname: storm-eval
Memory limits: cudd=1g, java(heap)=910.5m
Command line: prism -hybrid -epsilon 2.5e-13 -maxiters 100000000 -power -absolute -const k=400 ../../CZK_project/Model/benchmark/devel/firstRejuvenation/firstRejuvenation_CTMC.pm -ss -exportss ../../CZK_project/Output/firstRejuvenation_1E-10_dynamic/hybrid/ph_400_1E-10

Parsing model file "../../CZK_project/Model/benchmark/devel/firstRejuvenation/firstRejuvenation_CTMC.pm"...

Type:        CTMC
Modules:     firstRejuvenation trigger 
Variables:   status avail maintenance i 

---------------------------------------------------------------------

Computing steady-state probabilities...

Building model...
Model constants: k=400

Computing reachable states...

Reachability (BFS): 801 iterations in 0.02 seconds (average 0.000030, setup 0.00)

Time for model construction: 0.058 seconds.

Type:        CTMC
States:      2000 (1 initial)
Transitions: 2800

Rate matrix: 288 nodes (7 terminal), 2800 minterms, vars: 13r/13c

SCCs: 1, BSCCs: 1, non-BSCC states: 0
BSCC sizes: 1:2000

Initial states all in one BSCC (so no reachability probabilities computed)

Computing probabilities...
Engine: Hybrid

Building power method iteration matrix MTBDD... [nodes=342] [6.7 Kb]
Building hybrid MTBDD matrix... [levels=13, nodes=374] [17.5 KB]
Adding explicit sparse matrices... [levels=13, num=1, compact] [26.6 KB]
Allocating iteration vectors... [2 x 15.6 KB]
TOTAL: [75.4 KB]

Starting iterations...
Iteration 372375: max diff=0.000000, 5.00 sec so far
Iteration 745810: max diff=0.000000, 10.01 sec so far
Iteration 1112227: max diff=0.000000, 15.01 sec so far
Iteration 1487556: max diff=0.000000, 20.02 sec so far
Iteration 1853583: max diff=0.000000, 25.02 sec so far
Iteration 2226544: max diff=0.000000, 30.02 sec so far
Iteration 2599521: max diff=0.000000, 35.03 sec so far
Iteration 2971508: max diff=0.000000, 40.03 sec so far
Iteration 3348524: max diff=0.000000, 45.04 sec so far
Iteration 3722304: max diff=0.000000, 50.04 sec so far
Iteration 4087579: max diff=0.000000, 55.04 sec so far
Iteration 4456061: max diff=0.000000, 60.05 sec so far
Iteration 4819412: max diff=0.000000, 65.05 sec so far
Iteration 5189141: max diff=0.000000, 70.06 sec so far
Iteration 5565667: max diff=0.000000, 75.06 sec so far
Iteration 5938191: max diff=0.000000, 80.06 sec so far
Iteration 6313862: max diff=0.000000, 85.07 sec so far
Iteration 6687701: max diff=0.000000, 90.07 sec so far
Iteration 7061376: max diff=0.000000, 95.08 sec so far
Iteration 7435954: max diff=0.000000, 100.08 sec so far
Iteration 7813217: max diff=0.000000, 105.08 sec so far
Iteration 8187149: max diff=0.000000, 110.09 sec so far
Iteration 8559380: max diff=0.000000, 115.09 sec so far
Iteration 8935479: max diff=0.000000, 120.10 sec so far
Iteration 9309710: max diff=0.000000, 125.10 sec so far
Iteration 9687497: max diff=0.000000, 130.10 sec so far
Iteration 10068483: max diff=0.000000, 135.11 sec so far
Iteration 10440403: max diff=0.000000, 140.11 sec so far
Iteration 10815030: max diff=0.000000, 145.12 sec so far
Iteration 11190555: max diff=0.000000, 150.12 sec so far
Iteration 11569097: max diff=0.000000, 155.12 sec so far
Iteration 11944655: max diff=0.000000, 160.13 sec so far
Iteration 12319109: max diff=0.000000, 165.13 sec so far
Iteration 12693685: max diff=0.000000, 170.14 sec so far
Iteration 13067266: max diff=0.000000, 175.14 sec so far
Iteration 13442019: max diff=0.000000, 180.14 sec so far
Iteration 13815081: max diff=0.000000, 185.15 sec so far
Iteration 14191308: max diff=0.000000, 190.15 sec so far
Iteration 14568814: max diff=0.000000, 195.16 sec so far
Iteration 14942757: max diff=0.000000, 200.16 sec so far
Iteration 15317030: max diff=0.000000, 205.16 sec so far
Iteration 15691789: max diff=0.000000, 210.17 sec so far
Iteration 16065414: max diff=0.000000, 215.17 sec so far
Iteration 16440882: max diff=0.000000, 220.18 sec so far
Iteration 16817402: max diff=0.000000, 225.18 sec so far
Iteration 17192102: max diff=0.000000, 230.18 sec so far
Iteration 17566540: max diff=0.000000, 235.19 sec so far
Iteration 17941928: max diff=0.000000, 240.19 sec so far
Iteration 18315021: max diff=0.000000, 245.20 sec so far
Iteration 18690538: max diff=0.000000, 250.20 sec so far
Iteration 19055449: max diff=0.000000, 255.20 sec so far
Iteration 19431383: max diff=0.000000, 260.21 sec so far
Iteration 19805752: max diff=0.000000, 265.21 sec so far
Iteration 20181490: max diff=0.000000, 270.22 sec so far
Iteration 20559926: max diff=0.000000, 275.22 sec so far
Iteration 20935742: max diff=0.000000, 280.22 sec so far
Iteration 21308795: max diff=0.000000, 285.23 sec so far
Iteration 21682893: max diff=0.000000, 290.23 sec so far
Iteration 22057970: max diff=0.000000, 295.24 sec so far
Iteration 22432832: max diff=0.000000, 300.24 sec so far
Iteration 22808560: max diff=0.000000, 305.24 sec so far
Iteration 23181429: max diff=0.000000, 310.25 sec so far
Iteration 23554614: max diff=0.000000, 315.25 sec so far
Iteration 23926437: max diff=0.000000, 320.26 sec so far
Iteration 24300667: max diff=0.000000, 325.26 sec so far
Iteration 24677588: max diff=0.000000, 330.26 sec so far
Iteration 25053600: max diff=0.000000, 335.27 sec so far
Iteration 25428532: max diff=0.000000, 340.27 sec so far
Iteration 25808208: max diff=0.000000, 345.28 sec so far
Iteration 26186990: max diff=0.000000, 350.28 sec so far
Iteration 26561316: max diff=0.000000, 355.28 sec so far
Iteration 26930585: max diff=0.000000, 360.29 sec so far
Iteration 27305826: max diff=0.000000, 365.29 sec so far
Iteration 27668511: max diff=0.000000, 370.30 sec so far
Iteration 28043049: max diff=0.000000, 375.30 sec so far
Iteration 28417810: max diff=0.000000, 380.30 sec so far
Iteration 28790849: max diff=0.000000, 385.31 sec so far
Iteration 29166125: max diff=0.000000, 390.31 sec so far
Iteration 29540684: max diff=0.000000, 395.32 sec so far
Iteration 29918576: max diff=0.000000, 400.32 sec so far
Iteration 30290073: max diff=0.000000, 405.32 sec so far
Iteration 30665856: max diff=0.000000, 410.33 sec so far
Iteration 31039762: max diff=0.000000, 415.33 sec so far
Iteration 31412215: max diff=0.000000, 420.34 sec so far
Iteration 31787389: max diff=0.000000, 425.34 sec so far
Iteration 32160277: max diff=0.000000, 430.34 sec so far
Iteration 32533294: max diff=0.000000, 435.35 sec so far
Iteration 32905398: max diff=0.000000, 440.35 sec so far
Iteration 33276875: max diff=0.000000, 445.36 sec so far
Iteration 33651638: max diff=0.000000, 450.36 sec so far
Iteration 34022992: max diff=0.000000, 455.36 sec so far
Iteration 34396635: max diff=0.000000, 460.37 sec so far
Iteration 34772883: max diff=0.000000, 465.37 sec so far
Iteration 35147034: max diff=0.000000, 470.38 sec so far
Iteration 35520812: max diff=0.000000, 475.38 sec so far
Iteration 35898282: max diff=0.000000, 480.38 sec so far
Iteration 36269534: max diff=0.000000, 485.39 sec so far
Iteration 36637784: max diff=0.000000, 490.39 sec so far
Iteration 37011230: max diff=0.000000, 495.40 sec so far
Iteration 37387111: max diff=0.000000, 500.40 sec so far
Iteration 37762317: max diff=0.000000, 505.40 sec so far
Iteration 38135044: max diff=0.000000, 510.41 sec so far
Iteration 38504484: max diff=0.000000, 515.41 sec so far
Iteration 38877343: max diff=0.000000, 520.42 sec so far
Iteration 39249313: max diff=0.000000, 525.42 sec so far
Iteration 39624863: max diff=0.000000, 530.42 sec so far
Iteration 39994282: max diff=0.000000, 535.43 sec so far
Iteration 40368145: max diff=0.000000, 540.43 sec so far
Iteration 40744045: max diff=0.000000, 545.44 sec so far
Iteration 41117392: max diff=0.000000, 550.44 sec so far
Iteration 41492545: max diff=0.000000, 555.44 sec so far
Iteration 41866108: max diff=0.000000, 560.45 sec so far
Iteration 42242347: max diff=0.000000, 565.45 sec so far
Iteration 42613083: max diff=0.000000, 570.46 sec so far
Iteration 42989799: max diff=0.000000, 575.46 sec so far
Iteration 43357311: max diff=0.000000, 580.46 sec so far
Iteration 43724897: max diff=0.000000, 585.47 sec so far
Iteration 44096392: max diff=0.000000, 590.47 sec so far
Iteration 44472012: max diff=0.000000, 595.48 sec so far
Iteration 44842955: max diff=0.000000, 600.48 sec so far
Iteration 45209818: max diff=0.000000, 605.48 sec so far
Iteration 45583279: max diff=0.000000, 610.49 sec so far
Iteration 45949461: max diff=0.000000, 615.49 sec so far
Iteration 46320422: max diff=0.000000, 620.50 sec so far
Iteration 46692223: max diff=0.000000, 625.50 sec so far
Iteration 47062430: max diff=0.000000, 630.50 sec so far
Iteration 47423053: max diff=0.000000, 635.51 sec so far
Iteration 47797320: max diff=0.000000, 640.51 sec so far
Iteration 48177825: max diff=0.000000, 645.52 sec so far
Iteration 48541580: max diff=0.000000, 650.52 sec so far
Iteration 48900664: max diff=0.000000, 655.52 sec so far
Iteration 49269550: max diff=0.000000, 660.53 sec so far
Iteration 49640213: max diff=0.000000, 665.53 sec so far
Iteration 50009353: max diff=0.000000, 670.54 sec so far
Iteration 50377343: max diff=0.000000, 675.54 sec so far
Iteration 50750579: max diff=0.000000, 680.54 sec so far
Iteration 51122258: max diff=0.000000, 685.55 sec so far
Iteration 51491898: max diff=0.000000, 690.55 sec so far
Iteration 51853859: max diff=0.000000, 695.56 sec so far
Iteration 52227402: max diff=0.000000, 700.56 sec so far
Iteration 52597399: max diff=0.000000, 705.56 sec so far
Iteration 52969591: max diff=0.000000, 710.57 sec so far
Iteration 53340144: max diff=0.000000, 715.57 sec so far
Iteration 53712363: max diff=0.000000, 720.58 sec so far
