PRISM
=====

Version: 4.4
Date: Wed Jul 11 06:09:28 EDT 2018
Hostname: storm-eval
Memory limits: cudd=1g, java(heap)=910.5m
Command line: prism -hybrid -epsilon 5e-10 -maxiters 100000000 -power -absolute -const k=2000 ../../CZK_project/Model/benchmark/devel/firstRejuvenation/firstRejuvenation_CTMC.pm -ss -exportss ../../CZK_project/Output/firstRejuvenation_1E-6_dynamic/hybrid/ph_2000_1E-6

Parsing model file "../../CZK_project/Model/benchmark/devel/firstRejuvenation/firstRejuvenation_CTMC.pm"...

Type:        CTMC
Modules:     firstRejuvenation trigger 
Variables:   status avail maintenance i 

---------------------------------------------------------------------

Computing steady-state probabilities...

Building model...
Model constants: k=2000

Computing reachable states...

Reachability (BFS): 4001 iterations in 0.16 seconds (average 0.000041, setup 0.00)

Time for model construction: 0.533 seconds.

Type:        CTMC
States:      10000 (1 initial)
Transitions: 14000

Rate matrix: 358 nodes (7 terminal), 14000 minterms, vars: 15r/15c

SCCs: 1, BSCCs: 1, non-BSCC states: 0
BSCC sizes: 1:10000

Initial states all in one BSCC (so no reachability probabilities computed)

Computing probabilities...
Engine: Hybrid

Building power method iteration matrix MTBDD... [nodes=422] [8.2 Kb]
Building hybrid MTBDD matrix... [levels=15, nodes=483] [22.6 KB]
Adding explicit sparse matrices... [levels=15, num=1, compact] [132.9 KB]
Allocating iteration vectors... [2 x 78.1 KB]
TOTAL: [311.8 KB]

Starting iterations...
Iteration 74226: max diff=0.000001, 5.00 sec so far
Iteration 148378: max diff=0.000001, 10.01 sec so far
Iteration 222096: max diff=0.000000, 15.01 sec so far
Iteration 296243: max diff=0.000000, 20.02 sec so far
Iteration 370784: max diff=0.000000, 25.02 sec so far
Iteration 445022: max diff=0.000000, 30.02 sec so far
Iteration 518528: max diff=0.000000, 35.03 sec so far
Iteration 592444: max diff=0.000000, 40.03 sec so far
Iteration 666309: max diff=0.000000, 45.04 sec so far
Iteration 738825: max diff=0.000000, 50.04 sec so far
Iteration 811398: max diff=0.000000, 55.04 sec so far
Iteration 884323: max diff=0.000000, 60.05 sec so far
Iteration 957721: max diff=0.000000, 65.05 sec so far
Iteration 1030995: max diff=0.000000, 70.06 sec so far
Iteration 1103339: max diff=0.000000, 75.06 sec so far
Iteration 1177119: max diff=0.000000, 80.06 sec so far
Iteration 1248571: max diff=0.000000, 85.07 sec so far
Iteration 1318984: max diff=0.000000, 90.07 sec so far
Iteration 1392816: max diff=0.000000, 95.08 sec so far
Iteration 1465576: max diff=0.000000, 100.08 sec so far
Iteration 1535720: max diff=0.000000, 105.08 sec so far
Iteration 1609519: max diff=0.000000, 110.09 sec so far
Iteration 1683155: max diff=0.000000, 115.09 sec so far
Iteration 1756864: max diff=0.000000, 120.10 sec so far
Iteration 1829479: max diff=0.000000, 125.10 sec so far
Iteration 1901243: max diff=0.000000, 130.10 sec so far
Iteration 1974587: max diff=0.000000, 135.11 sec so far
Iteration 2047924: max diff=0.000000, 140.11 sec so far
Iteration 2121176: max diff=0.000000, 145.12 sec so far
Iteration 2194450: max diff=0.000000, 150.12 sec so far
Iteration 2267200: max diff=0.000000, 155.12 sec so far
Iteration 2338869: max diff=0.000000, 160.13 sec so far
Iteration 2411535: max diff=0.000000, 165.13 sec so far
Iteration 2484114: max diff=0.000000, 170.14 sec so far
Iteration 2554689: max diff=0.000000, 175.14 sec so far
Iteration 2625081: max diff=0.000000, 180.14 sec so far
Iteration 2698838: max diff=0.000000, 185.15 sec so far
Iteration 2772293: max diff=0.000000, 190.15 sec so far
Iteration 2845688: max diff=0.000000, 195.16 sec so far
Iteration 2920181: max diff=0.000000, 200.16 sec so far
Iteration 2992388: max diff=0.000000, 205.16 sec so far
Iteration 3063902: max diff=0.000000, 210.17 sec so far
Iteration 3136635: max diff=0.000000, 215.17 sec so far
Iteration 3209532: max diff=0.000000, 220.18 sec so far
Iteration 3281944: max diff=0.000000, 225.18 sec so far
Iteration 3355149: max diff=0.000000, 230.18 sec so far
Iteration 3429169: max diff=0.000000, 235.19 sec so far
Iteration 3500378: max diff=0.000000, 240.19 sec so far
Iteration 3573116: max diff=0.000000, 245.20 sec so far
Iteration 3647516: max diff=0.000000, 250.20 sec so far
Iteration 3722093: max diff=0.000000, 255.20 sec so far
Iteration 3796314: max diff=0.000000, 260.21 sec so far
Iteration 3870909: max diff=0.000000, 265.21 sec so far
Iteration 3944014: max diff=0.000000, 270.22 sec so far
Iteration 4016955: max diff=0.000000, 275.22 sec so far
Iteration 4088810: max diff=0.000000, 280.22 sec so far
Iteration 4160608: max diff=0.000000, 285.23 sec so far
Iteration 4234282: max diff=0.000000, 290.23 sec so far
Iteration 4308331: max diff=0.000000, 295.24 sec so far
Iteration 4381952: max diff=0.000000, 300.24 sec so far
Iteration 4455910: max diff=0.000000, 305.24 sec so far
Iteration 4528918: max diff=0.000000, 310.25 sec so far
Iteration 4602869: max diff=0.000000, 315.25 sec so far
Iteration 4676899: max diff=0.000000, 320.26 sec so far
Iteration 4750783: max diff=0.000000, 325.26 sec so far
Iteration 4824605: max diff=0.000000, 330.26 sec so far
Iteration 4898375: max diff=0.000000, 335.27 sec so far
Iteration 4972458: max diff=0.000000, 340.27 sec so far
Iteration 5046360: max diff=0.000000, 345.28 sec so far
Iteration 5120176: max diff=0.000000, 350.28 sec so far
Iteration 5194321: max diff=0.000000, 355.28 sec so far
Iteration 5268694: max diff=0.000000, 360.29 sec so far
Iteration 5342353: max diff=0.000000, 365.29 sec so far
Iteration 5416571: max diff=0.000000, 370.30 sec so far
Iteration 5491232: max diff=0.000000, 375.30 sec so far
Iteration 5565406: max diff=0.000000, 380.30 sec so far
Iteration 5640056: max diff=0.000000, 385.31 sec so far
Iteration 5714577: max diff=0.000000, 390.31 sec so far
Iteration 5788544: max diff=0.000000, 395.32 sec so far
Iteration 5862260: max diff=0.000000, 400.32 sec so far
Iteration 5935993: max diff=0.000000, 405.32 sec so far
Iteration 6009789: max diff=0.000000, 410.33 sec so far
Iteration 6083472: max diff=0.000000, 415.33 sec so far
Iteration 6157993: max diff=0.000000, 420.34 sec so far
Iteration 6232068: max diff=0.000000, 425.34 sec so far
Iteration 6305976: max diff=0.000000, 430.34 sec so far
Iteration 6380183: max diff=0.000000, 435.35 sec so far
Iteration 6452560: max diff=0.000000, 440.35 sec so far
Iteration 6526295: max diff=0.000000, 445.36 sec so far
Iteration 6600598: max diff=0.000000, 450.36 sec so far
Iteration 6674737: max diff=0.000000, 455.36 sec so far
Iteration 6748464: max diff=0.000000, 460.37 sec so far
Iteration 6822319: max diff=0.000000, 465.37 sec so far
Iteration 6896146: max diff=0.000000, 470.38 sec so far
Iteration 6970235: max diff=0.000000, 475.38 sec so far
Iteration 7044265: max diff=0.000000, 480.38 sec so far
Iteration 7118947: max diff=0.000000, 485.39 sec so far
Iteration 7192450: max diff=0.000000, 490.39 sec so far
Iteration 7266765: max diff=0.000000, 495.40 sec so far
Iteration 7340546: max diff=0.000000, 500.40 sec so far
Iteration 7414440: max diff=0.000000, 505.40 sec so far
Iteration 7488073: max diff=0.000000, 510.41 sec so far
Iteration 7562225: max diff=0.000000, 515.41 sec so far
Iteration 7634958: max diff=0.000000, 520.42 sec so far
Iteration 7708552: max diff=0.000000, 525.42 sec so far
Iteration 7781565: max diff=0.000000, 530.42 sec so far
Iteration 7854379: max diff=0.000000, 535.43 sec so far
Iteration 7927473: max diff=0.000000, 540.43 sec so far
Iteration 8000504: max diff=0.000000, 545.44 sec so far
Iteration 8074349: max diff=0.000000, 550.44 sec so far
Iteration 8147230: max diff=0.000000, 555.44 sec so far
Iteration 8220274: max diff=0.000000, 560.45 sec so far
Iteration 8293563: max diff=0.000000, 565.45 sec so far
Iteration 8367780: max diff=0.000000, 570.46 sec so far
Iteration 8441001: max diff=0.000000, 575.46 sec so far
Iteration 8512882: max diff=0.000000, 580.46 sec so far
Iteration 8586042: max diff=0.000000, 585.47 sec so far
Iteration 8658786: max diff=0.000000, 590.47 sec so far
Iteration 8731252: max diff=0.000000, 595.48 sec so far
Iteration 8803610: max diff=0.000000, 600.48 sec so far
Iteration 8877065: max diff=0.000000, 605.48 sec so far
Iteration 8950465: max diff=0.000000, 610.49 sec so far
Iteration 9024177: max diff=0.000000, 615.49 sec so far
Iteration 9098038: max diff=0.000000, 620.50 sec so far
Iteration 9171517: max diff=0.000000, 625.50 sec so far
Iteration 9244805: max diff=0.000000, 630.50 sec so far
Iteration 9318779: max diff=0.000000, 635.51 sec so far
Iteration 9391924: max diff=0.000000, 640.51 sec so far
Iteration 9465367: max diff=0.000000, 645.52 sec so far
Iteration 9539368: max diff=0.000000, 650.52 sec so far
Iteration 9613191: max diff=0.000000, 655.52 sec so far
Iteration 9686286: max diff=0.000000, 660.53 sec so far
Iteration 9759969: max diff=0.000000, 665.53 sec so far
Iteration 9834011: max diff=0.000000, 670.54 sec so far
Iteration 9907774: max diff=0.000000, 675.54 sec so far
Iteration 9981574: max diff=0.000000, 680.54 sec so far
Iteration 10055240: max diff=0.000000, 685.55 sec so far
Iteration 10128681: max diff=0.000000, 690.55 sec so far
Iteration 10201844: max diff=0.000000, 695.56 sec so far
Iteration 10275723: max diff=0.000000, 700.56 sec so far
Iteration 10349499: max diff=0.000000, 705.56 sec so far
Iteration 10423328: max diff=0.000000, 710.57 sec so far
Iteration 10497741: max diff=0.000000, 715.57 sec so far
Iteration 10571087: max diff=0.000000, 720.58 sec so far
Iteration 10644844: max diff=0.000000, 725.58 sec so far
Iteration 10718664: max diff=0.000000, 730.58 sec so far
Iteration 10792493: max diff=0.000000, 735.59 sec so far
