PRISM
=====

Version: 4.4
Date: Thu Jun 14 05:07:33 EDT 2018
Hostname: storm-eval
Memory limits: cudd=1g, java(heap)=910.5m
Command line: prism -hybrid -epsilon 1E-10 -maxiters 100000000 -power -absolute -const 'k=10000,timeout=0.1,lambda=6.93147180559945309400' ../../CZK_project/Model/queue_withptf_ctmc.sm -ss -exportss ../../CZK_project/Output/t=0.1_median_constant/hybrid/ph_10_10000_1E-10

Parsing model file "../../CZK_project/Model/queue_withptf_ctmc.sm"...

Type:        CTMC
Modules:     main trigger 
Variables:   qSize i 

---------------------------------------------------------------------

Computing steady-state probabilities...

Building model...
Model constants: k=10000,timeout=0.1,lambda=6.9314718056

Computing reachable states...

Reachability (BFS): 110000 iterations in 3.25 seconds (average 0.000030, setup 0.00)

Time for model construction: 6.985 seconds.

Type:        CTMC
States:      110000 (1 initial)
Transitions: 210000

Rate matrix: 198 nodes (3 terminal), 210000 minterms, vars: 18r/18c

SCCs: 1, BSCCs: 1, non-BSCC states: 0
BSCC sizes: 1:110000

Initial states all in one BSCC (so no reachability probabilities computed)

Computing probabilities...
Engine: Hybrid

Building power method iteration matrix MTBDD... [nodes=265] [5.2 Kb]
Building hybrid MTBDD matrix... [levels=18, nodes=298] [14.0 KB]
Adding explicit sparse matrices... [levels=15, num=7, compact] [664.1 KB]
Allocating iteration vectors... [2 x 859.4 KB]
TOTAL: [2.3 MB]

Starting iterations...
Iteration 4514: max diff=0.000001, 5.00 sec so far
Iteration 9026: max diff=0.000000, 10.01 sec so far
Iteration 13542: max diff=0.000000, 15.01 sec so far
Iteration 18054: max diff=0.000000, 20.02 sec so far
Iteration 22570: max diff=0.000000, 25.02 sec so far
Iteration 27093: max diff=0.000000, 30.02 sec so far
Iteration 31607: max diff=0.000000, 35.03 sec so far
Iteration 36079: max diff=0.000000, 40.03 sec so far
Iteration 40558: max diff=0.000000, 45.04 sec so far
Iteration 45066: max diff=0.000000, 50.04 sec so far
Iteration 49534: max diff=0.000000, 55.04 sec so far
Iteration 54031: max diff=0.000000, 60.05 sec so far
Iteration 58528: max diff=0.000000, 65.05 sec so far
Iteration 63024: max diff=0.000000, 70.06 sec so far
Iteration 67543: max diff=0.000000, 75.06 sec so far
Iteration 72041: max diff=0.000000, 80.06 sec so far
Iteration 76524: max diff=0.000000, 85.07 sec so far
Iteration 81015: max diff=0.000000, 90.07 sec so far
Iteration 85530: max diff=0.000000, 95.08 sec so far
Iteration 89969: max diff=0.000000, 100.08 sec so far
Iteration 94462: max diff=0.000000, 105.08 sec so far
Iteration 98959: max diff=0.000000, 110.09 sec so far
Iteration 103447: max diff=0.000000, 115.09 sec so far
Iteration 107946: max diff=0.000000, 120.10 sec so far
Iteration 112377: max diff=0.000000, 125.10 sec so far
Iteration 116860: max diff=0.000000, 130.10 sec so far
Iteration 121299: max diff=0.000000, 135.11 sec so far
Iteration 125748: max diff=0.000000, 140.11 sec so far
Iteration 130175: max diff=0.000000, 145.12 sec so far
Iteration 134594: max diff=0.000000, 150.12 sec so far
Iteration 139025: max diff=0.000000, 155.12 sec so far
Iteration 143456: max diff=0.000000, 160.13 sec so far
Iteration 147968: max diff=0.000000, 165.13 sec so far
Iteration 152429: max diff=0.000000, 170.14 sec so far
Iteration 156914: max diff=0.000000, 175.14 sec so far
Iteration 161394: max diff=0.000000, 180.14 sec so far
Iteration 165868: max diff=0.000000, 185.15 sec so far
Iteration 170346: max diff=0.000000, 190.15 sec so far
Iteration 174822: max diff=0.000000, 195.16 sec so far
Iteration 179274: max diff=0.000000, 200.16 sec so far
Iteration 183812: max diff=0.000000, 205.16 sec so far
Iteration 188254: max diff=0.000000, 210.17 sec so far
Iteration 192676: max diff=0.000000, 215.17 sec so far
Iteration 197157: max diff=0.000000, 220.18 sec so far
Iteration 201604: max diff=0.000000, 225.18 sec so far
Iteration 206079: max diff=0.000000, 230.18 sec so far
Iteration 210573: max diff=0.000000, 235.19 sec so far
Iteration 215097: max diff=0.000000, 240.19 sec so far
Iteration 219623: max diff=0.000000, 245.20 sec so far
Iteration 224157: max diff=0.000000, 250.20 sec so far
Iteration 228634: max diff=0.000000, 255.20 sec so far
Iteration 233182: max diff=0.000000, 260.21 sec so far
Iteration 237732: max diff=0.000000, 265.21 sec so far
Iteration 242285: max diff=0.000000, 270.22 sec so far
Iteration 246803: max diff=0.000000, 275.22 sec so far
Iteration 251213: max diff=0.000000, 280.22 sec so far
Iteration 255628: max diff=0.000000, 285.23 sec so far
Iteration 260142: max diff=0.000000, 290.23 sec so far
Iteration 264674: max diff=0.000000, 295.24 sec so far
Iteration 269212: max diff=0.000000, 300.24 sec so far
Iteration 273742: max diff=0.000000, 305.24 sec so far
Iteration 278238: max diff=0.000000, 310.25 sec so far
Iteration 282806: max diff=0.000000, 315.25 sec so far
Iteration 287299: max diff=0.000000, 320.26 sec so far
Iteration 291838: max diff=0.000000, 325.26 sec so far
Iteration 296368: max diff=0.000000, 330.26 sec so far
Iteration 300857: max diff=0.000000, 335.27 sec so far
Iteration 305368: max diff=0.000000, 340.27 sec so far
Iteration 309898: max diff=0.000000, 345.28 sec so far
Iteration 314405: max diff=0.000000, 350.28 sec so far
Iteration 318927: max diff=0.000000, 355.28 sec so far
Iteration 323453: max diff=0.000000, 360.29 sec so far
Iteration 327956: max diff=0.000000, 365.29 sec so far
Iteration 332497: max diff=0.000000, 370.30 sec so far
Iteration 337048: max diff=0.000000, 375.30 sec so far
Iteration 341547: max diff=0.000000, 380.30 sec so far
Iteration 346194: max diff=0.000000, 385.31 sec so far
Iteration 350642: max diff=0.000000, 390.31 sec so far
Iteration 355184: max diff=0.000000, 395.32 sec so far
Iteration 359717: max diff=0.000000, 400.32 sec so far
Iteration 364256: max diff=0.000000, 405.32 sec so far
Iteration 368798: max diff=0.000000, 410.33 sec so far
Iteration 373315: max diff=0.000000, 415.33 sec so far
Iteration 377679: max diff=0.000000, 420.34 sec so far
Iteration 382134: max diff=0.000000, 425.34 sec so far
Iteration 386548: max diff=0.000000, 430.34 sec so far
Iteration 391070: max diff=0.000000, 435.35 sec so far
Iteration 395586: max diff=0.000000, 440.35 sec so far
Iteration 400034: max diff=0.000000, 445.36 sec so far
Iteration 404537: max diff=0.000000, 450.36 sec so far
Iteration 409049: max diff=0.000000, 455.36 sec so far
Iteration 413578: max diff=0.000000, 460.37 sec so far
Iteration 418104: max diff=0.000000, 465.37 sec so far
Iteration 422610: max diff=0.000000, 470.38 sec so far
Iteration 427131: max diff=0.000000, 475.38 sec so far
Iteration 431631: max diff=0.000000, 480.38 sec so far
Iteration 436119: max diff=0.000000, 485.39 sec so far
Iteration 440652: max diff=0.000000, 490.39 sec so far
Iteration 445160: max diff=0.000000, 495.40 sec so far
Iteration 449677: max diff=0.000000, 500.40 sec so far
Iteration 454152: max diff=0.000000, 505.40 sec so far
Iteration 458637: max diff=0.000000, 510.41 sec so far
Iteration 463153: max diff=0.000000, 515.41 sec so far
Iteration 467684: max diff=0.000000, 520.42 sec so far
Iteration 472161: max diff=0.000000, 525.42 sec so far
Iteration 476657: max diff=0.000000, 530.42 sec so far
Iteration 481166: max diff=0.000000, 535.43 sec so far
Iteration 485687: max diff=0.000000, 540.43 sec so far
Iteration 490194: max diff=0.000000, 545.44 sec so far
Iteration 494705: max diff=0.000000, 550.44 sec so far
Iteration 499222: max diff=0.000000, 555.44 sec so far
Iteration 503728: max diff=0.000000, 560.45 sec so far
Iteration 508255: max diff=0.000000, 565.45 sec so far
Iteration 512755: max diff=0.000000, 570.46 sec so far
Iteration 517271: max diff=0.000000, 575.46 sec so far
Iteration 521778: max diff=0.000000, 580.46 sec so far
Iteration 526277: max diff=0.000000, 585.47 sec so far
Iteration 530793: max diff=0.000000, 590.47 sec so far
Iteration 535337: max diff=0.000000, 595.48 sec so far
Iteration 539840: max diff=0.000000, 600.48 sec so far
Iteration 544340: max diff=0.000000, 605.48 sec so far
Iteration 548857: max diff=0.000000, 610.49 sec so far
Iteration 553368: max diff=0.000000, 615.49 sec so far
Iteration 557858: max diff=0.000000, 620.50 sec so far
Iteration 562154: max diff=0.000000, 625.50 sec so far
Iteration 566260: max diff=0.000000, 630.50 sec so far
Iteration 570708: max diff=0.000000, 635.51 sec so far
Iteration 575249: max diff=0.000000, 640.51 sec so far
Iteration 579791: max diff=0.000000, 645.52 sec so far
Iteration 584321: max diff=0.000000, 650.52 sec so far
Iteration 588855: max diff=0.000000, 655.52 sec so far
Iteration 593389: max diff=0.000000, 660.53 sec so far
Iteration 597913: max diff=0.000000, 665.53 sec so far
Iteration 602449: max diff=0.000000, 670.54 sec so far
Iteration 607000: max diff=0.000000, 675.54 sec so far
Iteration 611544: max diff=0.000000, 680.54 sec so far
Iteration 616090: max diff=0.000000, 685.55 sec so far
Iteration 620628: max diff=0.000000, 690.55 sec so far
Iteration 625090: max diff=0.000000, 695.56 sec so far
Iteration 629642: max diff=0.000000, 700.56 sec so far
Iteration 634185: max diff=0.000000, 705.56 sec so far
Iteration 638728: max diff=0.000000, 710.57 sec so far
Iteration 643264: max diff=0.000000, 715.57 sec so far
Iteration 647804: max diff=0.000000, 720.58 sec so far
Iteration 652341: max diff=0.000000, 725.58 sec so far

