PRISM
=====

Version: 4.4
Date: Thu Jun 21 06:29:12 EDT 2018
Hostname: storm-eval
Memory limits: cudd=1g, java(heap)=910.5m
Command line: prism -hybrid -epsilon 2.22222e-20 -maxiters 100000000 -power -absolute -const 'k=45000,timeout=0.1,lambda=6.93147180559945309400' ../../CZK_project/Model/queue_withptf_ctmc.sm -ss -exportss ../../CZK_project/Output/t=0.1_median_1E-15_dynamic/hybrid/ph_10_45000_1E-15

Parsing model file "../../CZK_project/Model/queue_withptf_ctmc.sm"...

Type:        CTMC
Modules:     main trigger 
Variables:   qSize i 

---------------------------------------------------------------------

Computing steady-state probabilities...

Building model...
Model constants: k=45000,timeout=0.1,lambda=6.9314718056

Computing reachable states...

Reachability (BFS): 495000 iterations in 24.08 seconds (average 0.000049, setup 0.00)

Time for model construction: 190.439 seconds.

Type:        CTMC
States:      495000 (1 initial)
Transitions: 945000

Rate matrix: 232 nodes (3 terminal), 945000 minterms, vars: 20r/20c

SCCs: 1, BSCCs: 1, non-BSCC states: 0
BSCC sizes: 1:495000

Initial states all in one BSCC (so no reachability probabilities computed)

Computing probabilities...
Engine: Hybrid

Building power method iteration matrix MTBDD... [nodes=311] [6.1 Kb]
Building hybrid MTBDD matrix... [levels=20, nodes=362] [17.0 KB]
Adding explicit sparse matrices... [levels=14, num=9, compact] [686.7 KB]
Allocating iteration vectors... [2 x 3.8 MB]
TOTAL: [8.2 MB]

Starting iterations...
Iteration 1336: max diff=0.000000, 5.00 sec so far
Iteration 2614: max diff=0.000000, 10.01 sec so far
Iteration 3343: max diff=0.000000, 15.01 sec so far
Iteration 4346: max diff=0.000000, 20.02 sec so far
Iteration 5366: max diff=0.000000, 25.03 sec so far
Iteration 6421: max diff=0.000000, 30.03 sec so far
Iteration 7423: max diff=0.000000, 35.04 sec so far
Iteration 8401: max diff=0.000000, 40.04 sec so far
Iteration 9421: max diff=0.000000, 45.05 sec so far
Iteration 10407: max diff=0.000000, 50.05 sec so far
Iteration 11397: max diff=0.000000, 55.06 sec so far
Iteration 12393: max diff=0.000000, 60.06 sec so far
Iteration 13380: max diff=0.000000, 65.07 sec so far
Iteration 14346: max diff=0.000000, 70.07 sec so far
Iteration 15291: max diff=0.000000, 75.08 sec so far
Iteration 16219: max diff=0.000000, 80.08 sec so far
Iteration 17204: max diff=0.000000, 85.09 sec so far
Iteration 18189: max diff=0.000000, 90.09 sec so far
Iteration 19148: max diff=0.000000, 95.10 sec so far
Iteration 20167: max diff=0.000000, 100.10 sec so far
Iteration 21150: max diff=0.000000, 105.11 sec so far
Iteration 22113: max diff=0.000000, 110.12 sec so far
Iteration 23123: max diff=0.000000, 115.12 sec so far
Iteration 24107: max diff=0.000000, 120.12 sec so far
Iteration 25060: max diff=0.000000, 125.13 sec so far
Iteration 25839: max diff=0.000000, 130.13 sec so far
Iteration 26756: max diff=0.000000, 135.14 sec so far
Iteration 27686: max diff=0.000000, 140.14 sec so far
Iteration 28618: max diff=0.000000, 145.15 sec so far
Iteration 29495: max diff=0.000000, 150.16 sec so far
Iteration 30452: max diff=0.000000, 155.16 sec so far
Iteration 31564: max diff=0.000000, 160.17 sec so far
Iteration 32699: max diff=0.000000, 165.17 sec so far
Iteration 33615: max diff=0.000000, 170.18 sec so far
Iteration 34810: max diff=0.000000, 175.18 sec so far
Iteration 36087: max diff=0.000000, 180.19 sec so far
Iteration 37099: max diff=0.000000, 185.20 sec so far
Iteration 38094: max diff=0.000000, 190.20 sec so far
Iteration 38853: max diff=0.000000, 195.20 sec so far
Iteration 39889: max diff=0.000000, 200.21 sec so far
Iteration 40856: max diff=0.000000, 205.22 sec so far
Iteration 41782: max diff=0.000000, 210.22 sec so far
Iteration 42777: max diff=0.000000, 215.23 sec so far
Iteration 43757: max diff=0.000000, 220.24 sec so far
Iteration 44764: max diff=0.000000, 225.24 sec so far
Iteration 45680: max diff=0.000000, 230.25 sec so far
Iteration 46665: max diff=0.000000, 235.25 sec so far
Iteration 47603: max diff=0.000000, 240.27 sec so far
Iteration 48411: max diff=0.000000, 245.27 sec so far
Iteration 49223: max diff=0.000000, 250.28 sec so far
Iteration 50108: max diff=0.000000, 255.28 sec so far
Iteration 50937: max diff=0.000000, 260.29 sec so far
Iteration 51705: max diff=0.000000, 265.30 sec so far
Iteration 52497: max diff=0.000000, 270.30 sec so far
Iteration 53405: max diff=0.000000, 275.31 sec so far
Iteration 54344: max diff=0.000000, 280.31 sec so far
Iteration 55302: max diff=0.000000, 285.32 sec so far
Iteration 56197: max diff=0.000000, 290.32 sec so far
