PRISM
=====

Version: 4.4
Date: Mon Jun 18 09:47:59 EDT 2018
Hostname: storm-eval
Memory limits: cudd=1g, java(heap)=910.5m
Command line: prism -hybrid -epsilon 6.66667e-10 -maxiters 100000000 -power -absolute -const 'k=15000,timeout=0.1,lambda=6.93147180559945309400' ../../CZK_project/Model/queue_withptf_ctmc.sm -ss -exportss ../../CZK_project/Output/t=0.1_median_1E-5_dynamic/hybrid/ph_10_15000_1E-5

Parsing model file "../../CZK_project/Model/queue_withptf_ctmc.sm"...

Type:        CTMC
Modules:     main trigger 
Variables:   qSize i 

---------------------------------------------------------------------

Computing steady-state probabilities...

Building model...
Model constants: k=15000,timeout=0.1,lambda=6.9314718056

Computing reachable states...

Reachability (BFS): 165000 iterations in 5.76 seconds (average 0.000035, setup 0.00)

Time for model construction: 16.711 seconds.

Type:        CTMC
States:      165000 (1 initial)
Transitions: 315000

Rate matrix: 204 nodes (3 terminal), 315000 minterms, vars: 18r/18c

SCCs: 1, BSCCs: 1, non-BSCC states: 0
BSCC sizes: 1:165000

Initial states all in one BSCC (so no reachability probabilities computed)

Computing probabilities...
Engine: Hybrid

Building power method iteration matrix MTBDD... [nodes=273] [5.3 Kb]
Building hybrid MTBDD matrix... [levels=18, nodes=314] [14.7 KB]
Adding explicit sparse matrices... [levels=15, num=7, compact] [996.1 KB]
Allocating iteration vectors... [2 x 1.3 MB]
TOTAL: [3.5 MB]

Starting iterations...
Iteration 3380: max diff=0.000000, 5.00 sec so far
Iteration 6562: max diff=0.000000, 10.01 sec so far
Iteration 9909: max diff=0.000000, 15.01 sec so far
Iteration 13002: max diff=0.000000, 20.02 sec so far
Iteration 16038: max diff=0.000000, 25.02 sec so far
Iteration 19119: max diff=0.000000, 30.02 sec so far
Iteration 22288: max diff=0.000000, 35.03 sec so far
Iteration 25358: max diff=0.000000, 40.03 sec so far
Iteration 28423: max diff=0.000000, 45.04 sec so far
Iteration 31493: max diff=0.000000, 50.04 sec so far
Iteration 34590: max diff=0.000000, 55.04 sec so far
Iteration 37752: max diff=0.000000, 60.05 sec so far
Iteration 40854: max diff=0.000000, 65.05 sec so far
Iteration 44294: max diff=0.000000, 70.06 sec so far
Iteration 47462: max diff=0.000000, 75.06 sec so far
Iteration 50590: max diff=0.000000, 80.06 sec so far
Iteration 53644: max diff=0.000000, 85.07 sec so far
Iteration 56791: max diff=0.000000, 90.07 sec so far
Iteration 59812: max diff=0.000000, 95.08 sec so far
Iteration 62832: max diff=0.000000, 100.08 sec so far
Iteration 65817: max diff=0.000000, 105.08 sec so far
Iteration 68806: max diff=0.000000, 110.09 sec so far
Iteration 71552: max diff=0.000000, 115.09 sec so far
Iteration 74705: max diff=0.000000, 120.10 sec so far
Iteration 77619: max diff=0.000000, 125.10 sec so far
Iteration 80761: max diff=0.000000, 130.10 sec so far
Iteration 83763: max diff=0.000000, 135.11 sec so far
Iteration 86776: max diff=0.000000, 140.11 sec so far
Iteration 89704: max diff=0.000000, 145.12 sec so far
Iteration 92586: max diff=0.000000, 150.12 sec so far
Iteration 95658: max diff=0.000000, 155.12 sec so far
Iteration 98673: max diff=0.000000, 160.13 sec so far
Iteration 101766: max diff=0.000000, 165.14 sec so far
Iteration 104799: max diff=0.000000, 170.14 sec so far
Iteration 107731: max diff=0.000000, 175.14 sec so far
Iteration 110815: max diff=0.000000, 180.15 sec so far
Iteration 113883: max diff=0.000000, 185.15 sec so far
Iteration 116697: max diff=0.000000, 190.16 sec so far
Iteration 119589: max diff=0.000000, 195.16 sec so far
Iteration 122495: max diff=0.000000, 200.16 sec so far
Iteration 125525: max diff=0.000000, 205.17 sec so far
Iteration 128753: max diff=0.000000, 210.17 sec so far
Iteration 131879: max diff=0.000000, 215.18 sec so far
Iteration 135025: max diff=0.000000, 220.18 sec so far
Iteration 138212: max diff=0.000000, 225.18 sec so far
Iteration 141368: max diff=0.000000, 230.19 sec so far
Iteration 144579: max diff=0.000000, 235.19 sec so far
Iteration 147799: max diff=0.000000, 240.20 sec so far
Iteration 150985: max diff=0.000000, 245.20 sec so far
Iteration 154178: max diff=0.000000, 250.20 sec so far
Iteration 157339: max diff=0.000000, 255.21 sec so far
Iteration 160270: max diff=0.000000, 260.21 sec so far
Iteration 163288: max diff=0.000000, 265.22 sec so far
Iteration 166421: max diff=0.000000, 270.22 sec so far
Iteration 169608: max diff=0.000000, 275.22 sec so far
Iteration 172728: max diff=0.000000, 280.23 sec so far
Iteration 175871: max diff=0.000000, 285.23 sec so far
