PRISM
=====

Version: 4.4
Date: Wed Jun 20 05:28:58 EDT 2018
Hostname: storm-eval
Memory limits: cudd=1g, java(heap)=910.5m
Command line: prism -hybrid -epsilon 2e-11 -maxiters 100000000 -power -absolute -const 'k=50000,timeout=0.1,lambda=6.93147180559945309400' ../../CZK_project/Model/queue_withptf_ctmc.sm -ss -exportss ../../CZK_project/Output/t=0.1_median_1E-6_dynamic/hybrid/ph_10_50000_1E-6

Parsing model file "../../CZK_project/Model/queue_withptf_ctmc.sm"...

Type:        CTMC
Modules:     main trigger 
Variables:   qSize i 

---------------------------------------------------------------------

Computing steady-state probabilities...

Building model...
Model constants: k=50000,timeout=0.1,lambda=6.9314718056

Computing reachable states...

Reachability (BFS): 550000 iterations in 23.39 seconds (average 0.000043, setup 0.00)

Time for model construction: 247.152 seconds.

Type:        CTMC
States:      550000 (1 initial)
Transitions: 1050000

Rate matrix: 226 nodes (3 terminal), 1050000 minterms, vars: 20r/20c

SCCs: 1, BSCCs: 1, non-BSCC states: 0
BSCC sizes: 1:550000

Initial states all in one BSCC (so no reachability probabilities computed)

Computing probabilities...
Engine: Hybrid

Building power method iteration matrix MTBDD... [nodes=303] [5.9 Kb]
Building hybrid MTBDD matrix... [levels=20, nodes=343] [16.1 KB]
Adding explicit sparse matrices... [levels=14, num=9, compact] [419.9 KB]
Allocating iteration vectors... [2 x 4.2 MB]
TOTAL: [8.8 MB]

Starting iterations...
Iteration 747: max diff=0.000000, 5.00 sec so far
Iteration 1525: max diff=0.000000, 10.01 sec so far
Iteration 2273: max diff=0.000000, 15.01 sec so far
Iteration 3015: max diff=0.000000, 20.02 sec so far
Iteration 3754: max diff=0.000000, 25.02 sec so far
Iteration 4521: max diff=0.000000, 30.02 sec so far
Iteration 5260: max diff=0.000000, 35.03 sec so far
Iteration 6051: max diff=0.000000, 40.04 sec so far
Iteration 6809: max diff=0.000000, 45.04 sec so far
Iteration 7580: max diff=0.000000, 50.05 sec so far
Iteration 8346: max diff=0.000000, 55.06 sec so far
Iteration 9125: max diff=0.000000, 60.06 sec so far
Iteration 9883: max diff=0.000000, 65.07 sec so far
Iteration 10687: max diff=0.000000, 70.08 sec so far
Iteration 11460: max diff=0.000000, 75.08 sec so far
Iteration 12216: max diff=0.000000, 80.09 sec so far
Iteration 12968: max diff=0.000000, 85.10 sec so far
Iteration 13701: max diff=0.000000, 90.10 sec so far
Iteration 14438: max diff=0.000000, 95.10 sec so far
Iteration 15182: max diff=0.000000, 100.11 sec so far
Iteration 15932: max diff=0.000000, 105.12 sec so far
Iteration 16676: max diff=0.000000, 110.12 sec so far
Iteration 17417: max diff=0.000000, 115.12 sec so far
Iteration 18162: max diff=0.000000, 120.13 sec so far
Iteration 18906: max diff=0.000000, 125.14 sec so far
Iteration 19648: max diff=0.000000, 130.14 sec so far
Iteration 20387: max diff=0.000000, 135.15 sec so far
Iteration 21129: max diff=0.000000, 140.16 sec so far
Iteration 21865: max diff=0.000000, 145.17 sec so far
Iteration 22605: max diff=0.000000, 150.17 sec so far
Iteration 23347: max diff=0.000000, 155.18 sec so far
Iteration 24093: max diff=0.000000, 160.18 sec so far
Iteration 24834: max diff=0.000000, 165.19 sec so far
Iteration 25582: max diff=0.000000, 170.19 sec so far
Iteration 26323: max diff=0.000000, 175.20 sec so far
Iteration 27067: max diff=0.000000, 180.20 sec so far
Iteration 27812: max diff=0.000000, 185.21 sec so far
Iteration 28553: max diff=0.000000, 190.21 sec so far
Iteration 29293: max diff=0.000000, 195.22 sec so far
Iteration 30037: max diff=0.000000, 200.22 sec so far
Iteration 30782: max diff=0.000000, 205.23 sec so far
Iteration 31531: max diff=0.000000, 210.24 sec so far
Iteration 32279: max diff=0.000000, 215.24 sec so far
Iteration 33021: max diff=0.000000, 220.24 sec so far
Iteration 33767: max diff=0.000000, 225.25 sec so far
Iteration 34518: max diff=0.000000, 230.25 sec so far
Iteration 35257: max diff=0.000000, 235.26 sec so far
Iteration 36002: max diff=0.000000, 240.26 sec so far
Iteration 36818: max diff=0.000000, 245.27 sec so far
Iteration 37577: max diff=0.000000, 250.28 sec so far
Iteration 38322: max diff=0.000000, 255.28 sec so far
Iteration 39072: max diff=0.000000, 260.29 sec so far
Iteration 39817: max diff=0.000000, 265.29 sec so far
Iteration 40559: max diff=0.000000, 270.30 sec so far
Iteration 41304: max diff=0.000000, 275.30 sec so far
Iteration 42049: max diff=0.000000, 280.31 sec so far
Iteration 42789: max diff=0.000000, 285.31 sec so far
Iteration 43538: max diff=0.000000, 290.32 sec so far
Iteration 44282: max diff=0.000000, 295.33 sec so far
Iteration 45028: max diff=0.000000, 300.34 sec so far
Iteration 45772: max diff=0.000000, 305.34 sec so far
Iteration 46514: max diff=0.000000, 310.34 sec so far
Iteration 47260: max diff=0.000000, 315.35 sec so far
Iteration 48008: max diff=0.000000, 320.36 sec so far
Iteration 48754: max diff=0.000000, 325.36 sec so far
Iteration 49497: max diff=0.000000, 330.37 sec so far
Iteration 50242: max diff=0.000000, 335.38 sec so far
Iteration 50991: max diff=0.000000, 340.38 sec so far
Iteration 51733: max diff=0.000000, 345.38 sec so far
Iteration 52481: max diff=0.000000, 350.39 sec so far
Iteration 53234: max diff=0.000000, 355.40 sec so far
Iteration 53976: max diff=0.000000, 360.40 sec so far
Iteration 54718: max diff=0.000000, 365.41 sec so far
Iteration 55463: max diff=0.000000, 370.42 sec so far
Iteration 56200: max diff=0.000000, 375.42 sec so far
Iteration 56945: max diff=0.000000, 380.42 sec so far
Iteration 57686: max diff=0.000000, 385.43 sec so far
Iteration 58430: max diff=0.000000, 390.44 sec so far
Iteration 59171: max diff=0.000000, 395.44 sec so far
Iteration 59914: max diff=0.000000, 400.45 sec so far
Iteration 60655: max diff=0.000000, 405.45 sec so far
Iteration 61400: max diff=0.000000, 410.46 sec so far
Iteration 62145: max diff=0.000000, 415.46 sec so far
Iteration 62927: max diff=0.000000, 420.47 sec so far
Iteration 63678: max diff=0.000000, 425.48 sec so far
Iteration 64441: max diff=0.000000, 430.48 sec so far
Iteration 65199: max diff=0.000000, 435.49 sec so far
Iteration 65984: max diff=0.000000, 440.50 sec so far
Iteration 66729: max diff=0.000000, 445.50 sec so far
Iteration 67468: max diff=0.000000, 450.50 sec so far
Iteration 68209: max diff=0.000000, 455.51 sec so far
Iteration 68949: max diff=0.000000, 460.52 sec so far
Iteration 69687: max diff=0.000000, 465.53 sec so far
Iteration 70429: max diff=0.000000, 470.54 sec so far
Iteration 71169: max diff=0.000000, 475.54 sec so far
Iteration 71919: max diff=0.000000, 480.55 sec so far
Iteration 72655: max diff=0.000000, 485.56 sec so far
Iteration 73388: max diff=0.000000, 490.56 sec so far
Iteration 74132: max diff=0.000000, 495.57 sec so far
Iteration 74871: max diff=0.000000, 500.58 sec so far
Iteration 75612: max diff=0.000000, 505.58 sec so far
Iteration 76361: max diff=0.000000, 510.59 sec so far
