PRISM
=====

Version: 4.4
Date: Thu Jun 14 06:23:37 EDT 2018
Hostname: storm-eval
Memory limits: cudd=1g, java(heap)=910.5m
Command line: prism -hybrid -epsilon 1E-10 -maxiters 100000000 -power -absolute -const 'k=25000,timeout=0.1,lambda=6.93147180559945309400' ../../CZK_project/Model/queue_withptf_ctmc.sm -ss -exportss ../../CZK_project/Output/t=0.1_median_constant/hybrid/ph_10_25000_1E-10

Parsing model file "../../CZK_project/Model/queue_withptf_ctmc.sm"...

Type:        CTMC
Modules:     main trigger 
Variables:   qSize i 

---------------------------------------------------------------------

Computing steady-state probabilities...

Building model...
Model constants: k=25000,timeout=0.1,lambda=6.9314718056

Computing reachable states...

Reachability (BFS): 275000 iterations in 12.28 seconds (average 0.000045, setup 0.00)

Time for model construction: 48.938 seconds.

Type:        CTMC
States:      275000 (1 initial)
Transitions: 525000

Rate matrix: 218 nodes (3 terminal), 525000 minterms, vars: 19r/19c

SCCs: 1, BSCCs: 1, non-BSCC states: 0
BSCC sizes: 1:275000

Initial states all in one BSCC (so no reachability probabilities computed)

Computing probabilities...
Engine: Hybrid

Building power method iteration matrix MTBDD... [nodes=292] [5.7 Kb]
Building hybrid MTBDD matrix... [levels=19, nodes=332] [15.6 KB]
Adding explicit sparse matrices... [levels=15, num=5, compact] [805.7 KB]
Allocating iteration vectors... [2 x 2.1 MB]
TOTAL: [5.0 MB]

Starting iterations...
Iteration 1780: max diff=0.000000, 5.00 sec so far
Iteration 3632: max diff=0.000000, 10.01 sec so far
Iteration 5502: max diff=0.000000, 15.01 sec so far
Iteration 7377: max diff=0.000000, 20.02 sec so far
Iteration 9245: max diff=0.000000, 25.02 sec so far
Iteration 11098: max diff=0.000000, 30.02 sec so far
Iteration 12967: max diff=0.000000, 35.03 sec so far
Iteration 14828: max diff=0.000000, 40.03 sec so far
Iteration 16713: max diff=0.000000, 45.04 sec so far
Iteration 18586: max diff=0.000000, 50.04 sec so far
Iteration 20449: max diff=0.000000, 55.04 sec so far
Iteration 22328: max diff=0.000000, 60.05 sec so far
Iteration 24210: max diff=0.000000, 65.05 sec so far
Iteration 26081: max diff=0.000000, 70.06 sec so far
Iteration 27948: max diff=0.000000, 75.06 sec so far
Iteration 29801: max diff=0.000000, 80.06 sec so far
Iteration 31634: max diff=0.000000, 85.07 sec so far
Iteration 33504: max diff=0.000000, 90.07 sec so far
Iteration 35375: max diff=0.000000, 95.08 sec so far
Iteration 37237: max diff=0.000000, 100.08 sec so far
Iteration 39100: max diff=0.000000, 105.08 sec so far
Iteration 40970: max diff=0.000000, 110.09 sec so far
Iteration 42847: max diff=0.000000, 115.09 sec so far
Iteration 44711: max diff=0.000000, 120.10 sec so far
Iteration 46577: max diff=0.000000, 125.10 sec so far
Iteration 48445: max diff=0.000000, 130.10 sec so far
Iteration 50309: max diff=0.000000, 135.11 sec so far
Iteration 52174: max diff=0.000000, 140.11 sec so far
Iteration 54049: max diff=0.000000, 145.12 sec so far
Iteration 55915: max diff=0.000000, 150.12 sec so far
Iteration 57770: max diff=0.000000, 155.12 sec so far
Iteration 59638: max diff=0.000000, 160.13 sec so far
Iteration 61501: max diff=0.000000, 165.13 sec so far
Iteration 63365: max diff=0.000000, 170.14 sec so far
Iteration 65233: max diff=0.000000, 175.14 sec so far
Iteration 67106: max diff=0.000000, 180.14 sec so far
Iteration 68975: max diff=0.000000, 185.15 sec so far
Iteration 70846: max diff=0.000000, 190.15 sec so far
Iteration 72713: max diff=0.000000, 195.16 sec so far
Iteration 74538: max diff=0.000000, 200.16 sec so far
Iteration 76389: max diff=0.000000, 205.16 sec so far
Iteration 78251: max diff=0.000000, 210.17 sec so far
Iteration 80102: max diff=0.000000, 215.17 sec so far
Iteration 81929: max diff=0.000000, 220.18 sec so far
