PRISM
=====

Version: 4.4
Date: Sat Jun 16 04:49:50 EDT 2018
Hostname: storm-eval
Memory limits: cudd=1g, java(heap)=910.5m
Command line: prism -hybrid -epsilon 2.22222e-15 -maxiters 100000000 -power -absolute -const 'k=45000,timeout=0.1,lambda=6.93147180559945309400' ../../CZK_project/Model/queue_withptf_ctmc.sm -ss -exportss ../../CZK_project/Output/t=0.1_median_dynamic/hybrid/ph_10_45000_1E-10

Parsing model file "../../CZK_project/Model/queue_withptf_ctmc.sm"...

Type:        CTMC
Modules:     main trigger 
Variables:   qSize i 

---------------------------------------------------------------------

Computing steady-state probabilities...

Building model...
Model constants: k=45000,timeout=0.1,lambda=6.9314718056

Computing reachable states...

Reachability (BFS): 495000 iterations in 24.01 seconds (average 0.000049, setup 0.00)

Time for model construction: 148.857 seconds.

Type:        CTMC
States:      495000 (1 initial)
Transitions: 945000

Rate matrix: 232 nodes (3 terminal), 945000 minterms, vars: 20r/20c

SCCs: 1, BSCCs: 1, non-BSCC states: 0
BSCC sizes: 1:495000

Initial states all in one BSCC (so no reachability probabilities computed)

Computing probabilities...
Engine: Hybrid

Building power method iteration matrix MTBDD... [nodes=311] [6.1 Kb]
Building hybrid MTBDD matrix... [levels=20, nodes=362] [17.0 KB]
Adding explicit sparse matrices... [levels=14, num=9, compact] [686.7 KB]
Allocating iteration vectors... [2 x 3.8 MB]
TOTAL: [8.2 MB]

Starting iterations...
Iteration 940: max diff=0.000000, 5.00 sec so far
Iteration 1878: max diff=0.000000, 10.01 sec so far
Iteration 2815: max diff=0.000000, 15.02 sec so far
Iteration 3755: max diff=0.000000, 20.02 sec so far
Iteration 4692: max diff=0.000000, 25.02 sec so far
Iteration 5629: max diff=0.000000, 30.03 sec so far
Iteration 6565: max diff=0.000000, 35.04 sec so far
Iteration 7503: max diff=0.000000, 40.04 sec so far
Iteration 8438: max diff=0.000000, 45.05 sec so far
Iteration 9372: max diff=0.000000, 50.06 sec so far
Iteration 10310: max diff=0.000000, 55.06 sec so far
Iteration 11246: max diff=0.000000, 60.06 sec so far
Iteration 12180: max diff=0.000000, 65.07 sec so far
Iteration 13119: max diff=0.000000, 70.08 sec so far
Iteration 14055: max diff=0.000000, 75.08 sec so far
Iteration 14989: max diff=0.000000, 80.09 sec so far
Iteration 15926: max diff=0.000000, 85.10 sec so far
Iteration 16862: max diff=0.000000, 90.10 sec so far
Iteration 17797: max diff=0.000000, 95.10 sec so far
Iteration 18734: max diff=0.000000, 100.11 sec so far
Iteration 19673: max diff=0.000000, 105.11 sec so far
Iteration 20613: max diff=0.000000, 110.12 sec so far
Iteration 21550: max diff=0.000000, 115.12 sec so far
Iteration 22493: max diff=0.000000, 120.13 sec so far
Iteration 23332: max diff=0.000000, 125.14 sec so far
Iteration 24251: max diff=0.000000, 130.14 sec so far
Iteration 25196: max diff=0.000000, 135.15 sec so far
Iteration 26088: max diff=0.000000, 140.15 sec so far
Iteration 27015: max diff=0.000000, 145.16 sec so far
Iteration 27932: max diff=0.000000, 150.17 sec so far
Iteration 28860: max diff=0.000000, 155.17 sec so far
Iteration 29793: max diff=0.000000, 160.18 sec so far
Iteration 30732: max diff=0.000000, 165.18 sec so far
Iteration 31672: max diff=0.000000, 170.19 sec so far
Iteration 32603: max diff=0.000000, 175.19 sec so far
Iteration 33538: max diff=0.000000, 180.20 sec so far
Iteration 34473: max diff=0.000000, 185.20 sec so far
Iteration 35405: max diff=0.000000, 190.20 sec so far
Iteration 36253: max diff=0.000000, 195.21 sec so far
Iteration 37010: max diff=0.000000, 200.22 sec so far
Iteration 37781: max diff=0.000000, 205.22 sec so far
Iteration 38554: max diff=0.000000, 210.22 sec so far
Iteration 39327: max diff=0.000000, 215.23 sec so far
Iteration 40106: max diff=0.000000, 220.24 sec so far
Iteration 40870: max diff=0.000000, 225.25 sec so far
Iteration 41633: max diff=0.000000, 230.25 sec so far
Iteration 42424: max diff=0.000000, 235.26 sec so far
Iteration 43187: max diff=0.000000, 240.26 sec so far
Iteration 43950: max diff=0.000000, 245.27 sec so far
Iteration 44738: max diff=0.000000, 250.27 sec so far
Iteration 45522: max diff=0.000000, 255.28 sec so far
Iteration 46284: max diff=0.000000, 260.28 sec so far
Iteration 47057: max diff=0.000000, 265.29 sec so far
Iteration 47822: max diff=0.000000, 270.29 sec so far
Iteration 48585: max diff=0.000000, 275.30 sec so far
Iteration 49354: max diff=0.000000, 280.30 sec so far
Iteration 50116: max diff=0.000000, 285.31 sec so far
Iteration 50907: max diff=0.000000, 290.31 sec so far
