PRISM
=====

Version: 4.4
Date: Sun Jun 17 20:08:18 EDT 2018
Hostname: storm-eval
Memory limits: cudd=1g, java(heap)=910.5m
Command line: prism -hybrid -epsilon 1E-15 -maxiters 100000000 -power -absolute -const 'k=40000,timeout=0.2,lambda=3.46573590279972654700' ../../CZK_project/Model/queue_withptf_ctmc.sm -ss -exportss ../../CZK_project/Output/t=0.2_median_constant/hybrid/ph_10_40000_1E-15

Parsing model file "../../CZK_project/Model/queue_withptf_ctmc.sm"...

Type:        CTMC
Modules:     main trigger 
Variables:   qSize i 

---------------------------------------------------------------------

Computing steady-state probabilities...

Building model...
Model constants: k=40000,timeout=0.2,lambda=3.4657359028

Computing reachable states...

Reachability (BFS): 440000 iterations in 17.45 seconds (average 0.000040, setup 0.00)

Time for model construction: 78.488 seconds.

Type:        CTMC
States:      440000 (1 initial)
Transitions: 840000

Rate matrix: 214 nodes (3 terminal), 840000 minterms, vars: 20r/20c

SCCs: 1, BSCCs: 1, non-BSCC states: 0
BSCC sizes: 1:440000

Initial states all in one BSCC (so no reachability probabilities computed)

Computing probabilities...
Engine: Hybrid

Building power method iteration matrix MTBDD... [nodes=287] [5.6 Kb]
Building hybrid MTBDD matrix... [levels=20, nodes=320] [15.0 KB]
Adding explicit sparse matrices... [levels=15, num=8, compact] [937.5 KB]
Allocating iteration vectors... [2 x 3.4 MB]
TOTAL: [7.6 MB]

Starting iterations...
Iteration 1192: max diff=0.000000, 5.00 sec so far
Iteration 2387: max diff=0.000000, 10.01 sec so far
Iteration 3583: max diff=0.000000, 15.01 sec so far
Iteration 4744: max diff=0.000000, 20.02 sec so far
Iteration 5937: max diff=0.000000, 25.02 sec so far
Iteration 7112: max diff=0.000000, 30.02 sec so far
Iteration 8254: max diff=0.000000, 35.03 sec so far
Iteration 9421: max diff=0.000000, 40.03 sec so far
Iteration 10594: max diff=0.000000, 45.04 sec so far
Iteration 11766: max diff=0.000000, 50.04 sec so far
Iteration 12957: max diff=0.000000, 55.04 sec so far
Iteration 14153: max diff=0.000000, 60.05 sec so far
Iteration 15342: max diff=0.000000, 65.05 sec so far
Iteration 16533: max diff=0.000000, 70.06 sec so far
Iteration 17726: max diff=0.000000, 75.06 sec so far
Iteration 18920: max diff=0.000000, 80.06 sec so far
Iteration 20116: max diff=0.000000, 85.07 sec so far
Iteration 21312: max diff=0.000000, 90.08 sec so far
Iteration 22509: max diff=0.000000, 95.08 sec so far
Iteration 23701: max diff=0.000000, 100.08 sec so far
Iteration 24890: max diff=0.000000, 105.09 sec so far
Iteration 26074: max diff=0.000000, 110.09 sec so far
Iteration 27248: max diff=0.000000, 115.10 sec so far
Iteration 28427: max diff=0.000000, 120.10 sec so far
Iteration 29601: max diff=0.000000, 125.10 sec so far
Iteration 30797: max diff=0.000000, 130.11 sec so far
Iteration 31993: max diff=0.000000, 135.12 sec so far
Iteration 33164: max diff=0.000000, 140.12 sec so far
Iteration 34334: max diff=0.000000, 145.12 sec so far
Iteration 35501: max diff=0.000000, 150.13 sec so far
Iteration 36689: max diff=0.000000, 155.13 sec so far
Iteration 37880: max diff=0.000000, 160.14 sec so far
Iteration 39078: max diff=0.000000, 165.14 sec so far
Iteration 40273: max diff=0.000000, 170.15 sec so far
Iteration 41466: max diff=0.000000, 175.15 sec so far
Iteration 42662: max diff=0.000000, 180.16 sec so far
Iteration 43861: max diff=0.000000, 185.16 sec so far
Iteration 45057: max diff=0.000000, 190.16 sec so far
Iteration 46253: max diff=0.000000, 195.17 sec so far
Iteration 47450: max diff=0.000000, 200.17 sec so far
Iteration 48644: max diff=0.000000, 205.18 sec so far
Iteration 49838: max diff=0.000000, 210.18 sec so far
Iteration 51036: max diff=0.000000, 215.19 sec so far
Iteration 52213: max diff=0.000000, 220.19 sec so far
Iteration 53389: max diff=0.000000, 225.20 sec so far
Iteration 54562: max diff=0.000000, 230.20 sec so far
Iteration 55729: max diff=0.000000, 235.20 sec so far
Iteration 56910: max diff=0.000000, 240.21 sec so far
Iteration 58093: max diff=0.000000, 245.22 sec so far
Iteration 59284: max diff=0.000000, 250.22 sec so far
Iteration 60472: max diff=0.000000, 255.22 sec so far
Iteration 61666: max diff=0.000000, 260.23 sec so far
Iteration 62863: max diff=0.000000, 265.23 sec so far
Iteration 64058: max diff=0.000000, 270.24 sec so far
Iteration 65251: max diff=0.000000, 275.24 sec so far
Iteration 66448: max diff=0.000000, 280.24 sec so far
Iteration 67646: max diff=0.000000, 285.25 sec so far
Iteration 68841: max diff=0.000000, 290.25 sec so far
Iteration 70038: max diff=0.000000, 295.26 sec so far
Iteration 71231: max diff=0.000000, 300.26 sec so far
Iteration 72430: max diff=0.000000, 305.26 sec so far
Iteration 73623: max diff=0.000000, 310.27 sec so far
Iteration 74818: max diff=0.000000, 315.27 sec so far
Iteration 76011: max diff=0.000000, 320.28 sec so far
Iteration 77204: max diff=0.000000, 325.28 sec so far
Iteration 78396: max diff=0.000000, 330.28 sec so far
Iteration 79570: max diff=0.000000, 335.29 sec so far
Iteration 80747: max diff=0.000000, 340.30 sec so far
Iteration 81928: max diff=0.000000, 345.30 sec so far
Iteration 83111: max diff=0.000000, 350.30 sec so far
Iteration 84294: max diff=0.000000, 355.31 sec so far
Iteration 85460: max diff=0.000000, 360.31 sec so far
Iteration 86602: max diff=0.000000, 365.32 sec so far
Iteration 87723: max diff=0.000000, 370.32 sec so far
Iteration 88833: max diff=0.000000, 375.33 sec so far
Iteration 89931: max diff=0.000000, 380.33 sec so far
Iteration 91015: max diff=0.000000, 385.34 sec so far
Iteration 92116: max diff=0.000000, 390.34 sec so far
Iteration 93239: max diff=0.000000, 395.35 sec so far
Iteration 94331: max diff=0.000000, 400.36 sec so far
Iteration 95440: max diff=0.000000, 405.36 sec so far
Iteration 96526: max diff=0.000000, 410.36 sec so far
Iteration 97645: max diff=0.000000, 415.37 sec so far
Iteration 98745: max diff=0.000000, 420.37 sec so far
Iteration 99867: max diff=0.000000, 425.38 sec so far
Iteration 100949: max diff=0.000000, 430.38 sec so far
Iteration 102055: max diff=0.000000, 435.38 sec so far
Iteration 103134: max diff=0.000000, 440.39 sec so far
Iteration 104226: max diff=0.000000, 445.39 sec so far
Iteration 105327: max diff=0.000000, 450.40 sec so far
Iteration 106412: max diff=0.000000, 455.40 sec so far
Iteration 107527: max diff=0.000000, 460.40 sec so far
Iteration 108626: max diff=0.000000, 465.41 sec so far
Iteration 109744: max diff=0.000000, 470.41 sec so far
Iteration 110856: max diff=0.000000, 475.42 sec so far
Iteration 111973: max diff=0.000000, 480.42 sec so far
Iteration 113072: max diff=0.000000, 485.42 sec so far
Iteration 114156: max diff=0.000000, 490.43 sec so far
Iteration 115241: max diff=0.000000, 495.43 sec so far
Iteration 116357: max diff=0.000000, 500.44 sec so far
Iteration 117457: max diff=0.000000, 505.44 sec so far
Iteration 118551: max diff=0.000000, 510.44 sec so far
Iteration 119657: max diff=0.000000, 515.45 sec so far
Iteration 120762: max diff=0.000000, 520.45 sec so far
Iteration 121843: max diff=0.000000, 525.46 sec so far
Iteration 122918: max diff=0.000000, 530.46 sec so far
Iteration 124008: max diff=0.000000, 535.47 sec so far
Iteration 125060: max diff=0.000000, 540.48 sec so far
Iteration 126150: max diff=0.000000, 545.48 sec so far
Iteration 127216: max diff=0.000000, 550.48 sec so far
Iteration 128302: max diff=0.000000, 555.49 sec so far
Iteration 129381: max diff=0.000000, 560.49 sec so far
Iteration 130440: max diff=0.000000, 565.50 sec so far
Iteration 131514: max diff=0.000000, 570.50 sec so far
Iteration 132602: max diff=0.000000, 575.50 sec so far
Iteration 133699: max diff=0.000000, 580.51 sec so far
Iteration 134800: max diff=0.000000, 585.51 sec so far
Iteration 135869: max diff=0.000000, 590.52 sec so far
Iteration 136962: max diff=0.000000, 595.52 sec so far
Iteration 138042: max diff=0.000000, 600.52 sec so far
Iteration 139131: max diff=0.000000, 605.53 sec so far
Iteration 140195: max diff=0.000000, 610.54 sec so far
Iteration 141261: max diff=0.000000, 615.54 sec so far
Iteration 142356: max diff=0.000000, 620.55 sec so far
Iteration 143443: max diff=0.000000, 625.55 sec so far
Iteration 144544: max diff=0.000000, 630.56 sec so far
Iteration 145635: max diff=0.000000, 635.56 sec so far
Iteration 146688: max diff=0.000000, 640.56 sec so far
Iteration 147770: max diff=0.000000, 645.57 sec so far
Iteration 148874: max diff=0.000000, 650.57 sec so far
Iteration 149952: max diff=0.000000, 655.58 sec so far
Iteration 151034: max diff=0.000000, 660.58 sec so far
Iteration 152131: max diff=0.000000, 665.58 sec so far
Iteration 153249: max diff=0.000000, 670.59 sec so far
Iteration 154342: max diff=0.000000, 675.59 sec so far
Iteration 155428: max diff=0.000000, 680.60 sec so far
Iteration 156516: max diff=0.000000, 685.60 sec so far
Iteration 157620: max diff=0.000000, 690.61 sec so far
Iteration 158720: max diff=0.000000, 695.61 sec so far
Iteration 159795: max diff=0.000000, 700.62 sec so far
Iteration 160871: max diff=0.000000, 705.62 sec so far
Iteration 161995: max diff=0.000000, 710.63 sec so far
Iteration 163077: max diff=0.000000, 715.64 sec so far
Iteration 164166: max diff=0.000000, 720.64 sec so far
Iteration 165254: max diff=0.000000, 725.64 sec so far
Iteration 166346: max diff=0.000000, 730.65 sec so far
Iteration 167445: max diff=0.000000, 735.65 sec so far
Iteration 168558: max diff=0.000000, 740.66 sec so far
Iteration 169670: max diff=0.000000, 745.66 sec so far
Iteration 170758: max diff=0.000000, 750.66 sec so far
Iteration 171873: max diff=0.000000, 755.67 sec so far
Iteration 172982: max diff=0.000000, 760.67 sec so far
Iteration 174071: max diff=0.000000, 765.68 sec so far
Iteration 175173: max diff=0.000000, 770.68 sec so far
Iteration 176249: max diff=0.000000, 775.68 sec so far
Iteration 177326: max diff=0.000000, 780.69 sec so far
Iteration 178405: max diff=0.000000, 785.70 sec so far
Iteration 179517: max diff=0.000000, 790.70 sec so far
Iteration 180623: max diff=0.000000, 795.71 sec so far
Iteration 181744: max diff=0.000000, 800.71 sec so far
Iteration 182865: max diff=0.000000, 805.72 sec so far
Iteration 183982: max diff=0.000000, 810.72 sec so far
Iteration 185088: max diff=0.000000, 815.73 sec so far
Iteration 186173: max diff=0.000000, 820.73 sec so far
Iteration 187235: max diff=0.000000, 825.74 sec so far
Iteration 188319: max diff=0.000000, 830.74 sec so far
Iteration 189397: max diff=0.000000, 835.75 sec so far
Iteration 190487: max diff=0.000000, 840.75 sec so far
Iteration 191589: max diff=0.000000, 845.76 sec so far
Iteration 192681: max diff=0.000000, 850.76 sec so far
Iteration 193767: max diff=0.000000, 855.76 sec so far
Iteration 194880: max diff=0.000000, 860.77 sec so far
Iteration 195974: max diff=0.000000, 865.77 sec so far
Iteration 197085: max diff=0.000000, 870.78 sec so far
Iteration 198186: max diff=0.000000, 875.78 sec so far
Iteration 199297: max diff=0.000000, 880.78 sec so far
Iteration 200410: max diff=0.000000, 885.79 sec so far
Iteration 201534: max diff=0.000000, 890.79 sec so far
Iteration 202649: max diff=0.000000, 895.80 sec so far
Iteration 203749: max diff=0.000000, 900.80 sec so far
Iteration 204874: max diff=0.000000, 905.81 sec so far
Iteration 205963: max diff=0.000000, 910.81 sec so far
Iteration 207089: max diff=0.000000, 915.82 sec so far
Iteration 208178: max diff=0.000000, 920.82 sec so far
Iteration 209285: max diff=0.000000, 925.83 sec so far
Iteration 210409: max diff=0.000000, 930.83 sec so far
Iteration 211503: max diff=0.000000, 935.84 sec so far
Iteration 212599: max diff=0.000000, 940.84 sec so far
Iteration 213705: max diff=0.000000, 945.85 sec so far
Iteration 214798: max diff=0.000000, 950.85 sec so far
Iteration 215922: max diff=0.000000, 955.86 sec so far
Iteration 217029: max diff=0.000000, 960.86 sec so far
Iteration 218130: max diff=0.000000, 965.86 sec so far
Iteration 219225: max diff=0.000000, 970.87 sec so far
Iteration 220302: max diff=0.000000, 975.88 sec so far
Iteration 221384: max diff=0.000000, 980.88 sec so far
Iteration 222442: max diff=0.000000, 985.88 sec so far
Iteration 223504: max diff=0.000000, 990.89 sec so far
Iteration 224567: max diff=0.000000, 995.89 sec so far
Iteration 225642: max diff=0.000000, 1000.90 sec so far
Iteration 226769: max diff=0.000000, 1005.90 sec so far
Iteration 227870: max diff=0.000000, 1010.91 sec so far
Iteration 228975: max diff=0.000000, 1015.91 sec so far
Iteration 230099: max diff=0.000000, 1020.92 sec so far
Iteration 231231: max diff=0.000000, 1025.92 sec so far
Iteration 232327: max diff=0.000000, 1030.93 sec so far
Iteration 233414: max diff=0.000000, 1035.93 sec so far
Iteration 234520: max diff=0.000000, 1040.94 sec so far
Iteration 235631: max diff=0.000000, 1045.94 sec so far
Iteration 236741: max diff=0.000000, 1050.94 sec so far
Iteration 237829: max diff=0.000000, 1055.95 sec so far
Iteration 238956: max diff=0.000000, 1060.95 sec so far
Iteration 240058: max diff=0.000000, 1065.96 sec so far
Iteration 241166: max diff=0.000000, 1070.96 sec so far
Iteration 242257: max diff=0.000000, 1075.96 sec so far
Iteration 243363: max diff=0.000000, 1080.97 sec so far
Iteration 244480: max diff=0.000000, 1085.97 sec so far
Iteration 245619: max diff=0.000000, 1090.98 sec so far
Iteration 246738: max diff=0.000000, 1095.98 sec so far
Iteration 247835: max diff=0.000000, 1100.98 sec so far
Iteration 248945: max diff=0.000000, 1105.99 sec so far
Iteration 250064: max diff=0.000000, 1111.00 sec so far
Iteration 251152: max diff=0.000000, 1116.00 sec so far
Iteration 252280: max diff=0.000000, 1121.00 sec so far
Iteration 253377: max diff=0.000000, 1126.01 sec so far
Iteration 254473: max diff=0.000000, 1131.01 sec so far
Iteration 255596: max diff=0.000000, 1136.02 sec so far
Iteration 256714: max diff=0.000000, 1141.02 sec so far
Iteration 257817: max diff=0.000000, 1146.02 sec so far
Iteration 258920: max diff=0.000000, 1151.03 sec so far
Iteration 260019: max diff=0.000000, 1156.04 sec so far
Iteration 261115: max diff=0.000000, 1161.04 sec so far
Iteration 262203: max diff=0.000000, 1166.05 sec so far
Iteration 263324: max diff=0.000000, 1171.05 sec so far
Iteration 264408: max diff=0.000000, 1176.06 sec so far
Iteration 265504: max diff=0.000000, 1181.06 sec so far
Iteration 266609: max diff=0.000000, 1186.06 sec so far
Iteration 267707: max diff=0.000000, 1191.07 sec so far
Iteration 268801: max diff=0.000000, 1196.08 sec so far
Iteration 269912: max diff=0.000000, 1201.08 sec so far
Iteration 271004: max diff=0.000000, 1206.09 sec so far
Iteration 272088: max diff=0.000000, 1211.09 sec so far
Iteration 273180: max diff=0.000000, 1216.10 sec so far
Iteration 274277: max diff=0.000000, 1221.10 sec so far
Iteration 275343: max diff=0.000000, 1226.10 sec so far
Iteration 276461: max diff=0.000000, 1231.11 sec so far
Iteration 277549: max diff=0.000000, 1236.12 sec so far
Iteration 278639: max diff=0.000000, 1241.12 sec so far
Iteration 279746: max diff=0.000000, 1246.12 sec so far
Iteration 280881: max diff=0.000000, 1251.13 sec so far
Iteration 281988: max diff=0.000000, 1256.14 sec so far
Iteration 283087: max diff=0.000000, 1261.14 sec so far
Iteration 284179: max diff=0.000000, 1266.15 sec so far
Iteration 285317: max diff=0.000000, 1271.15 sec so far
Iteration 286420: max diff=0.000000, 1276.16 sec so far
Iteration 287515: max diff=0.000000, 1281.16 sec so far
Iteration 288618: max diff=0.000000, 1286.16 sec so far
Iteration 289725: max diff=0.000000, 1291.17 sec so far
Iteration 290827: max diff=0.000000, 1296.17 sec so far
Iteration 291946: max diff=0.000000, 1301.18 sec so far
Iteration 293047: max diff=0.000000, 1306.18 sec so far
Iteration 294150: max diff=0.000000, 1311.18 sec so far
Iteration 295283: max diff=0.000000, 1316.19 sec so far
Iteration 296381: max diff=0.000000, 1321.19 sec so far
Iteration 297506: max diff=0.000000, 1326.20 sec so far
Iteration 298599: max diff=0.000000, 1331.20 sec so far
Iteration 299658: max diff=0.000000, 1336.20 sec so far
Iteration 300752: max diff=0.000000, 1341.21 sec so far
Iteration 301872: max diff=0.000000, 1346.21 sec so far
Iteration 302970: max diff=0.000000, 1351.22 sec so far
Iteration 304075: max diff=0.000000, 1356.22 sec so far
Iteration 305172: max diff=0.000000, 1361.23 sec so far
Iteration 306267: max diff=0.000000, 1366.24 sec so far
Iteration 307377: max diff=0.000000, 1371.24 sec so far
Iteration 308462: max diff=0.000000, 1376.24 sec so far
Iteration 309574: max diff=0.000000, 1381.25 sec so far
Iteration 310697: max diff=0.000000, 1386.25 sec so far
Iteration 311782: max diff=0.000000, 1391.26 sec so far
Iteration 312869: max diff=0.000000, 1396.26 sec so far
Iteration 313960: max diff=0.000000, 1401.27 sec so far
Iteration 315041: max diff=0.000000, 1406.28 sec so far
Iteration 316144: max diff=0.000000, 1411.28 sec so far
Iteration 317251: max diff=0.000000, 1416.28 sec so far
Iteration 318351: max diff=0.000000, 1421.29 sec so far
Iteration 319459: max diff=0.000000, 1426.29 sec so far
Iteration 320557: max diff=0.000000, 1431.30 sec so far
Iteration 321658: max diff=0.000000, 1436.30 sec so far
Iteration 322775: max diff=0.000000, 1441.30 sec so far
Iteration 323903: max diff=0.000000, 1446.31 sec so far
Iteration 325037: max diff=0.000000, 1451.32 sec so far
Iteration 326127: max diff=0.000000, 1456.32 sec so far
Iteration 327249: max diff=0.000000, 1461.32 sec so far
Iteration 328371: max diff=0.000000, 1466.33 sec so far
Iteration 329479: max diff=0.000000, 1471.34 sec so far
Iteration 330571: max diff=0.000000, 1476.34 sec so far
Iteration 331680: max diff=0.000000, 1481.34 sec so far
Iteration 332782: max diff=0.000000, 1486.35 sec so far
Iteration 333901: max diff=0.000000, 1491.36 sec so far
Iteration 335038: max diff=0.000000, 1496.36 sec so far
Iteration 336143: max diff=0.000000, 1501.36 sec so far
Iteration 337251: max diff=0.000000, 1506.37 sec so far
Iteration 338339: max diff=0.000000, 1511.37 sec so far
Iteration 339437: max diff=0.000000, 1516.38 sec so far
Iteration 340505: max diff=0.000000, 1521.38 sec so far
Iteration 341620: max diff=0.000000, 1526.38 sec so far
Iteration 342718: max diff=0.000000, 1531.39 sec so far
Iteration 343833: max diff=0.000000, 1536.39 sec so far
Iteration 344915: max diff=0.000000, 1541.40 sec so far
Iteration 346013: max diff=0.000000, 1546.40 sec so far
Iteration 347098: max diff=0.000000, 1551.40 sec so far
Iteration 348194: max diff=0.000000, 1556.41 sec so far
Iteration 349280: max diff=0.000000, 1561.41 sec so far
Iteration 350406: max diff=0.000000, 1566.42 sec so far
Iteration 351535: max diff=0.000000, 1571.42 sec so far
Iteration 352641: max diff=0.000000, 1576.42 sec so far
Iteration 353762: max diff=0.000000, 1581.43 sec so far
Iteration 354908: max diff=0.000000, 1586.43 sec so far
Iteration 355996: max diff=0.000000, 1591.44 sec so far
Iteration 357108: max diff=0.000000, 1596.44 sec so far
Iteration 358165: max diff=0.000000, 1601.44 sec so far
Iteration 359298: max diff=0.000000, 1606.45 sec so far
