PRISM
=====

Version: 4.4
Date: Thu Jul 12 03:45:46 EDT 2018
Hostname: storm-eval
Memory limits: cudd=1g, java(heap)=910.5m
Command line: prism -hybrid -epsilon 5e-14 -maxiters 100000000 -power -absolute -const k=2000 ../../CZK_project/Model/benchmark/devel/firstRejuvenation/firstRejuvenation_CTMC.pm -ss -exportss ../../CZK_project/Output/firstRejuvenation_1E-10_dynamic/hybrid/ph_2000_1E-10

Parsing model file "../../CZK_project/Model/benchmark/devel/firstRejuvenation/firstRejuvenation_CTMC.pm"...

Type:        CTMC
Modules:     firstRejuvenation trigger 
Variables:   status avail maintenance i 

---------------------------------------------------------------------

Computing steady-state probabilities...

Building model...
Model constants: k=2000

Computing reachable states...

Reachability (BFS): 4001 iterations in 0.12 seconds (average 0.000029, setup 0.00)

Time for model construction: 0.361 seconds.

Type:        CTMC
States:      10000 (1 initial)
Transitions: 14000

Rate matrix: 358 nodes (7 terminal), 14000 minterms, vars: 15r/15c

SCCs: 1, BSCCs: 1, non-BSCC states: 0
BSCC sizes: 1:10000

Initial states all in one BSCC (so no reachability probabilities computed)

Computing probabilities...
Engine: Hybrid

Building power method iteration matrix MTBDD... [nodes=422] [8.2 Kb]
Building hybrid MTBDD matrix... [levels=15, nodes=483] [22.6 KB]
Adding explicit sparse matrices... [levels=15, num=1, compact] [132.9 KB]
Allocating iteration vectors... [2 x 78.1 KB]
TOTAL: [311.8 KB]

Starting iterations...
Iteration 75590: max diff=0.000001, 5.00 sec so far
Iteration 150354: max diff=0.000001, 10.01 sec so far
Iteration 225481: max diff=0.000000, 15.01 sec so far
Iteration 300570: max diff=0.000000, 20.02 sec so far
Iteration 375780: max diff=0.000000, 25.02 sec so far
Iteration 451305: max diff=0.000000, 30.02 sec so far
Iteration 526493: max diff=0.000000, 35.03 sec so far
Iteration 601397: max diff=0.000000, 40.03 sec so far
Iteration 676733: max diff=0.000000, 45.04 sec so far
Iteration 751284: max diff=0.000000, 50.04 sec so far
Iteration 826998: max diff=0.000000, 55.04 sec so far
Iteration 902241: max diff=0.000000, 60.05 sec so far
Iteration 977221: max diff=0.000000, 65.05 sec so far
Iteration 1052575: max diff=0.000000, 70.06 sec so far
Iteration 1127400: max diff=0.000000, 75.06 sec so far
Iteration 1202547: max diff=0.000000, 80.06 sec so far
Iteration 1277670: max diff=0.000000, 85.07 sec so far
Iteration 1353422: max diff=0.000000, 90.07 sec so far
Iteration 1428097: max diff=0.000000, 95.08 sec so far
Iteration 1502528: max diff=0.000000, 100.08 sec so far
Iteration 1577336: max diff=0.000000, 105.08 sec so far
Iteration 1651471: max diff=0.000000, 110.09 sec so far
Iteration 1725552: max diff=0.000000, 115.09 sec so far
Iteration 1800408: max diff=0.000000, 120.10 sec so far
Iteration 1875440: max diff=0.000000, 125.10 sec so far
Iteration 1950428: max diff=0.000000, 130.10 sec so far
Iteration 2025418: max diff=0.000000, 135.11 sec so far
Iteration 2101119: max diff=0.000000, 140.11 sec so far
Iteration 2176287: max diff=0.000000, 145.12 sec so far
Iteration 2251571: max diff=0.000000, 150.12 sec so far
Iteration 2326871: max diff=0.000000, 155.12 sec so far
Iteration 2402419: max diff=0.000000, 160.13 sec so far
Iteration 2477377: max diff=0.000000, 165.13 sec so far
Iteration 2552637: max diff=0.000000, 170.14 sec so far
Iteration 2627994: max diff=0.000000, 175.14 sec so far
Iteration 2702984: max diff=0.000000, 180.14 sec so far
Iteration 2778323: max diff=0.000000, 185.15 sec so far
Iteration 2853488: max diff=0.000000, 190.15 sec so far
Iteration 2928769: max diff=0.000000, 195.16 sec so far
Iteration 3003042: max diff=0.000000, 200.16 sec so far
Iteration 3077736: max diff=0.000000, 205.16 sec so far
Iteration 3152546: max diff=0.000000, 210.17 sec so far
Iteration 3227260: max diff=0.000000, 215.17 sec so far
Iteration 3301895: max diff=0.000000, 220.18 sec so far
Iteration 3376875: max diff=0.000000, 225.18 sec so far
Iteration 3452333: max diff=0.000000, 230.18 sec so far
Iteration 3527203: max diff=0.000000, 235.19 sec so far
Iteration 3601842: max diff=0.000000, 240.19 sec so far
Iteration 3675903: max diff=0.000000, 245.20 sec so far
Iteration 3750074: max diff=0.000000, 250.20 sec so far
Iteration 3824853: max diff=0.000000, 255.20 sec so far
Iteration 3900042: max diff=0.000000, 260.21 sec so far
Iteration 3973897: max diff=0.000000, 265.21 sec so far
Iteration 4049208: max diff=0.000000, 270.22 sec so far
Iteration 4124821: max diff=0.000000, 275.22 sec so far
Iteration 4199369: max diff=0.000000, 280.22 sec so far
Iteration 4274204: max diff=0.000000, 285.23 sec so far
Iteration 4349022: max diff=0.000000, 290.23 sec so far
Iteration 4423777: max diff=0.000000, 295.24 sec so far
Iteration 4498875: max diff=0.000000, 300.24 sec so far
Iteration 4573285: max diff=0.000000, 305.24 sec so far
Iteration 4648115: max diff=0.000000, 310.25 sec so far
Iteration 4722853: max diff=0.000000, 315.25 sec so far
Iteration 4797401: max diff=0.000000, 320.26 sec so far
Iteration 4872333: max diff=0.000000, 325.26 sec so far
Iteration 4946383: max diff=0.000000, 330.26 sec so far
Iteration 5021310: max diff=0.000000, 335.27 sec so far
Iteration 5096530: max diff=0.000000, 340.27 sec so far
Iteration 5171617: max diff=0.000000, 345.28 sec so far
Iteration 5246578: max diff=0.000000, 350.28 sec so far
Iteration 5322028: max diff=0.000000, 355.28 sec so far
Iteration 5396677: max diff=0.000000, 360.29 sec so far
Iteration 5471586: max diff=0.000000, 365.29 sec so far
Iteration 5546752: max diff=0.000000, 370.30 sec so far
Iteration 5621926: max diff=0.000000, 375.30 sec so far
Iteration 5696937: max diff=0.000000, 380.30 sec so far
Iteration 5771483: max diff=0.000000, 385.31 sec so far
Iteration 5846294: max diff=0.000000, 390.31 sec so far
Iteration 5921186: max diff=0.000000, 395.32 sec so far
Iteration 5996239: max diff=0.000000, 400.32 sec so far
Iteration 6071346: max diff=0.000000, 405.32 sec so far
Iteration 6146579: max diff=0.000000, 410.33 sec so far
Iteration 6221985: max diff=0.000000, 415.33 sec so far
Iteration 6297172: max diff=0.000000, 420.34 sec so far
Iteration 6372490: max diff=0.000000, 425.34 sec so far
Iteration 6447935: max diff=0.000000, 430.34 sec so far
Iteration 6523549: max diff=0.000000, 435.35 sec so far
Iteration 6598999: max diff=0.000000, 440.35 sec so far
Iteration 6674049: max diff=0.000000, 445.36 sec so far
Iteration 6749011: max diff=0.000000, 450.36 sec so far
Iteration 6824425: max diff=0.000000, 455.36 sec so far
Iteration 6899792: max diff=0.000000, 460.37 sec so far
Iteration 6974898: max diff=0.000000, 465.37 sec so far
Iteration 7048574: max diff=0.000000, 470.38 sec so far
Iteration 7122391: max diff=0.000000, 475.38 sec so far
Iteration 7197383: max diff=0.000000, 480.38 sec so far
Iteration 7272602: max diff=0.000000, 485.39 sec so far
Iteration 7347429: max diff=0.000000, 490.39 sec so far
Iteration 7422666: max diff=0.000000, 495.40 sec so far
Iteration 7497682: max diff=0.000000, 500.40 sec so far
Iteration 7572622: max diff=0.000000, 505.40 sec so far
Iteration 7647829: max diff=0.000000, 510.41 sec so far
Iteration 7723040: max diff=0.000000, 515.41 sec so far
Iteration 7798457: max diff=0.000000, 520.42 sec so far
Iteration 7873947: max diff=0.000000, 525.42 sec so far
Iteration 7949042: max diff=0.000000, 530.42 sec so far
Iteration 8024330: max diff=0.000000, 535.43 sec so far
Iteration 8099637: max diff=0.000000, 540.43 sec so far
Iteration 8174826: max diff=0.000000, 545.44 sec so far
Iteration 8250400: max diff=0.000000, 550.44 sec so far
Iteration 8325747: max diff=0.000000, 555.44 sec so far
Iteration 8401459: max diff=0.000000, 560.45 sec so far
Iteration 8476488: max diff=0.000000, 565.45 sec so far
Iteration 8551690: max diff=0.000000, 570.46 sec so far
Iteration 8627128: max diff=0.000000, 575.46 sec so far
Iteration 8701971: max diff=0.000000, 580.46 sec so far
Iteration 8777067: max diff=0.000000, 585.47 sec so far
Iteration 8851975: max diff=0.000000, 590.47 sec so far
Iteration 8927037: max diff=0.000000, 595.48 sec so far
Iteration 9002660: max diff=0.000000, 600.48 sec so far
Iteration 9077664: max diff=0.000000, 605.48 sec so far
Iteration 9152836: max diff=0.000000, 610.49 sec so far
Iteration 9227747: max diff=0.000000, 615.49 sec so far
Iteration 9303154: max diff=0.000000, 620.50 sec so far
Iteration 9378389: max diff=0.000000, 625.50 sec so far
Iteration 9453839: max diff=0.000000, 630.50 sec so far
Iteration 9529461: max diff=0.000000, 635.51 sec so far
Iteration 9604856: max diff=0.000000, 640.51 sec so far
Iteration 9678014: max diff=0.000000, 645.52 sec so far
Iteration 9752343: max diff=0.000000, 650.52 sec so far
Iteration 9827270: max diff=0.000000, 655.52 sec so far
Iteration 9901956: max diff=0.000000, 660.53 sec so far
Iteration 9976416: max diff=0.000000, 665.53 sec so far
Iteration 10051139: max diff=0.000000, 670.54 sec so far
Iteration 10125337: max diff=0.000000, 675.54 sec so far
Iteration 10199080: max diff=0.000000, 680.54 sec so far
Iteration 10274180: max diff=0.000000, 685.55 sec so far
Iteration 10349304: max diff=0.000000, 690.55 sec so far
Iteration 10424417: max diff=0.000000, 695.56 sec so far
Iteration 10499699: max diff=0.000000, 700.56 sec so far
Iteration 10574702: max diff=0.000000, 705.56 sec so far
Iteration 10649952: max diff=0.000000, 710.57 sec so far
Iteration 10725194: max diff=0.000000, 715.57 sec so far
Iteration 10800212: max diff=0.000000, 720.58 sec so far
Iteration 10875645: max diff=0.000000, 725.58 sec so far
Iteration 10950887: max diff=0.000000, 730.58 sec so far
Iteration 11026176: max diff=0.000000, 735.59 sec so far
